id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
NCBITaxon:244127	biolink:OrganismTaxon												
NCBITaxon:1409	biolink:OrganismTaxon												
NCBITaxon:698776	biolink:OrganismTaxon												
NCBITaxon:990721	biolink:OrganismTaxon												
NCBITaxon:33042	biolink:OrganismTaxon												
NCBITaxon:61170	biolink:OrganismTaxon												
NCBITaxon:283168	biolink:OrganismTaxon												
NCBITaxon:1017280	biolink:OrganismTaxon												
NCBITaxon:41978	biolink:OrganismTaxon												
NCBITaxon:1266	biolink:OrganismTaxon												
NCBITaxon:191303	biolink:OrganismTaxon												
NCBITaxon:29317	biolink:OrganismTaxon												
NCBITaxon:871665	biolink:OrganismTaxon												
NCBITaxon:33039	biolink:OrganismTaxon												
NCBITaxon:460384	biolink:OrganismTaxon												
NCBITaxon:820	biolink:OrganismTaxon												
NCBITaxon:626937	biolink:OrganismTaxon												
NCBITaxon:61171	biolink:OrganismTaxon												
NCBITaxon:290055	biolink:OrganismTaxon												
NCBITaxon:292800	biolink:OrganismTaxon												
NCBITaxon:28117	biolink:OrganismTaxon												
NCBITaxon:1537	biolink:OrganismTaxon												
NCBITaxon:333367	biolink:OrganismTaxon												
NCBITaxon:84024	biolink:OrganismTaxon												
NCBITaxon:160404	biolink:OrganismTaxon												
NCBITaxon:106588	biolink:OrganismTaxon												
NCBITaxon:39496	biolink:OrganismTaxon												
NCBITaxon:39484	biolink:OrganismTaxon												
MONDO:0005575	biolink:Disease												
MONDO:0005265	biolink:Disease												
NCBITaxon:818	biolink:OrganismTaxon												
NCBITaxon:47882	biolink:OrganismTaxon												
NCBITaxon:1402	biolink:OrganismTaxon												
NCBITaxon:442	biolink:OrganismTaxon												
NCBITaxon:571	biolink:OrganismTaxon												
NCBITaxon:550	biolink:OrganismTaxon												
NCBITaxon:1498	biolink:OrganismTaxon												
NCBITaxon:234908	biolink:OrganismTaxon												
NCBITaxon:31977	biolink:OrganismTaxon												
NCBITaxon:876	biolink:OrganismTaxon												
NCBITaxon:58621	biolink:OrganismTaxon												
NCBITaxon:901	biolink:OrganismTaxon												
NCBITaxon:40544	biolink:OrganismTaxon												
NCBITaxon:84026	biolink:OrganismTaxon												
NCBITaxon:39485	biolink:OrganismTaxon												
NCBITaxon:42322	biolink:OrganismTaxon												
NCBITaxon:33025	biolink:OrganismTaxon												
NCBITaxon:823	biolink:OrganismTaxon												
NCBITaxon:28136	biolink:OrganismTaxon												
NCBITaxon:102106	biolink:OrganismTaxon												
NCBITaxon:1683	biolink:OrganismTaxon												
NCBITaxon:1535	biolink:OrganismTaxon												
NCBITaxon:44749	biolink:OrganismTaxon												
NCBITaxon:33953	biolink:OrganismTaxon												
NCBITaxon:1490	biolink:OrganismTaxon												
NCBITaxon:1492	biolink:OrganismTaxon												
NCBITaxon:1531	biolink:OrganismTaxon												
NCBITaxon:69824	biolink:OrganismTaxon												
NCBITaxon:1496	biolink:OrganismTaxon												
NCBITaxon:36841	biolink:OrganismTaxon												
NCBITaxon:1522	biolink:OrganismTaxon												
NCBITaxon:1502	biolink:OrganismTaxon												
NCBITaxon:29347	biolink:OrganismTaxon												
NCBITaxon:1505	biolink:OrganismTaxon												
NCBITaxon:29348	biolink:OrganismTaxon												
NCBITaxon:1550	biolink:OrganismTaxon												
NCBITaxon:1559	biolink:OrganismTaxon												
NCBITaxon:1264	biolink:OrganismTaxon												
NCBITaxon:1265	biolink:OrganismTaxon												
NCBITaxon:46228	biolink:OrganismTaxon												
MONDO:0002009	biolink:Disease												
NCBITaxon:171549	biolink:OrganismTaxon												
NCBITaxon:459786	biolink:OrganismTaxon												
NCBITaxon:572511	biolink:OrganismTaxon												
NCBITaxon:158846	biolink:OrganismTaxon												
NCBITaxon:33024	biolink:OrganismTaxon												
NCBITaxon:577310	biolink:OrganismTaxon												
MONDO:0004985	biolink:Disease												
NCBITaxon:815	biolink:OrganismTaxon												
NCBITaxon:1224	biolink:OrganismTaxon												
NCBITaxon:1760	biolink:OrganismTaxon												
NCBITaxon:2172	biolink:OrganismTaxon												
NCBITaxon:574697	biolink:OrganismTaxon												
MONDO:0005404	biolink:Disease												
NCBITaxon:1351	biolink:OrganismTaxon												
NCBITaxon:1305	biolink:OrganismTaxon												
NCBITaxon:253238	biolink:OrganismTaxon												
NCBITaxon:437755	biolink:OrganismTaxon												
NCBITaxon:420345	biolink:OrganismTaxon												
NCBITaxon:84036	biolink:OrganismTaxon												
NCBITaxon:553372	biolink:OrganismTaxon												
NCBITaxon:543	biolink:OrganismTaxon												
NCBITaxon:31953	biolink:OrganismTaxon												
MONDO:0005180	biolink:Disease												
NCBITaxon:2173	biolink:OrganismTaxon												
NCBITaxon:171552	biolink:OrganismTaxon												
NCBITaxon:189330	biolink:OrganismTaxon												
NCBITaxon:119852	biolink:OrganismTaxon												
NCBITaxon:48736	biolink:OrganismTaxon												
NCBITaxon:1532	biolink:OrganismTaxon												
NCBITaxon:817	biolink:OrganismTaxon												
NCBITaxon:123375	biolink:OrganismTaxon												
NCBITaxon:33958	biolink:OrganismTaxon												
NCBITaxon:84107	biolink:OrganismTaxon												
NCBITaxon:32207	biolink:OrganismTaxon												
NCBITaxon:32067	biolink:OrganismTaxon												
NCBITaxon:724	biolink:OrganismTaxon												
NCBITaxon:482	biolink:OrganismTaxon												
NCBITaxon:1378	biolink:OrganismTaxon												
NCBITaxon:1716	biolink:OrganismTaxon												
NCBITaxon:117563	biolink:OrganismTaxon												
NCBITaxon:712	biolink:OrganismTaxon												
NCBITaxon:1268	biolink:OrganismTaxon												
NCBITaxon:186828	biolink:OrganismTaxon												
MONDO:0004975	biolink:Disease												
NCBITaxon:171551	biolink:OrganismTaxon												
