id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
MONDO:0005620	biolink:Disease												
MONDO:0013792	biolink:Disease												
MONDO:0002679	biolink:Disease												
MONDO:0012553	biolink:Disease												
MONDO:0011057	biolink:Disease												
MONDO:0011144	biolink:Disease												
MONDO:0029001	biolink:Disease												
MONDO:0004789	biolink:Disease												
MONDO:0018805	biolink:Disease												
MONDO:0001751	biolink:Disease												
MONDO:0006757	biolink:Disease												
MONDO:0019072	biolink:Disease												
MONDO:0810000	biolink:Disease												
MONDO:0009813	biolink:Disease												
MONDO:0005292	biolink:Disease												
MONDO:0005101	biolink:Disease												
MONDO:0006713	biolink:Disease												
MONDO:0005010	biolink:Disease												
MONDO:0005355	biolink:Disease												
MONDO:0005719	biolink:Disease												
MONDO:0100096	biolink:Disease												
MONDO:0005357	biolink:Disease												
MONDO:0009061	biolink:Disease												
MONDO:0006873	biolink:Disease												
MONDO:0001627	biolink:Disease												
MONDO:0005379	biolink:Disease												
MONDO:0002009	biolink:Disease												
MONDO:0006525	biolink:Disease												
MONDO:0011292	biolink:Disease												
MONDO:0005480	biolink:Disease												
MONDO:0005287	biolink:Disease												
MONDO:0005406	biolink:Disease												
MONDO:0005147	biolink:Disease												
MONDO:0005148	biolink:Disease												
MONDO:0000960	biolink:Disease												
MONDO:0005016	biolink:Disease												
MONDO:0006626	biolink:Disease												
MONDO:0005266	biolink:Disease												
MONDO:0002145	biolink:Disease												
MONDO:0008608	biolink:Disease												
MONDO:0006732	biolink:Disease												
MONDO:0005738	biolink:Disease												
MONDO:0005568	biolink:Disease												
MONDO:0021251	biolink:Disease												
MONDO:0005133	biolink:Disease												
MONDO:0005313	biolink:Disease												
MONDO:0017612	biolink:Disease												
MONDO:0005027	biolink:Disease												
MONDO:0005115	biolink:Disease												
MONDO:0005754	biolink:Disease												
MONDO:0005362	biolink:Disease												
MONDO:0012353	biolink:Disease												
MONDO:0001409	biolink:Disease												
MONDO:0006896	biolink:Disease												
MONDO:0001134	biolink:Disease												
MONDO:0001083	biolink:Disease												
MONDO:0009218	biolink:Disease												
MONDO:0021104	biolink:Disease												
MONDO:0000408	biolink:Disease												
MONDO:0005030	biolink:Disease												
MONDO:0010383	biolink:Disease												
MONDO:0024503	biolink:Disease												
MONDO:0007186	biolink:Disease												
MONDO:0006769	biolink:Disease												
MONDO:0018150	biolink:Disease												
MONDO:0020573	biolink:Disease												
MONDO:0018177	biolink:Disease												
MONDO:0016681	biolink:Disease												
MONDO:0002462	biolink:Disease												
MONDO:0005342	biolink:Disease												
MONDO:0002461	biolink:Disease												
MONDO:0005376	biolink:Disease												
MONDO:0100313	biolink:Disease												
MONDO:0014421	biolink:Disease												
MONDO:0001076	biolink:Disease												
MONDO:0002908	biolink:Disease												
MONDO:0009293	biolink:Disease												
MONDO:0012747	biolink:Disease												
MONDO:0015514	biolink:Disease												
MONDO:0006499	biolink:Disease												
MONDO:0005365	biolink:Disease												
MONDO:0005453	biolink:Disease												
MONDO:0005267	biolink:Disease												
MONDO:0005252	biolink:Disease												
MONDO:0006781	biolink:Disease												
MONDO:0016748	biolink:Disease												
MONDO:0013536	biolink:Disease												
MONDO:0001549	biolink:Disease												
MONDO:0019514	biolink:Disease												
MONDO:0002251	biolink:Disease												
MONDO:0001505	biolink:Disease												
MONDO:0001382	biolink:Disease												
MONDO:0008185	biolink:Disease												
MONDO:0005367	biolink:Disease												
MONDO:0005109	biolink:Disease												
MONDO:0004952	biolink:Disease												
MONDO:0005510	biolink:Disease												
MONDO:0002909	biolink:Disease												
MONDO:0007818	biolink:Disease												
MONDO:0002177	biolink:Disease												
MONDO:0007239	biolink:Disease												
MONDO:0005043	biolink:Disease												
MONDO:0005271	biolink:Disease												
MONDO:0005080	biolink:Disease												
MONDO:0005149	biolink:Disease												
MONDO:0004425	biolink:Disease												
MONDO:0014448	biolink:Disease												
MONDO:0004946	biolink:Disease												
MONDO:0003019	biolink:Disease												
MONDO:0005468	biolink:Disease												
MONDO:0006685	biolink:Disease												
MONDO:0100213	biolink:Disease												
MONDO:0800029	biolink:Disease												
MONDO:0019167	biolink:Disease												
MONDO:0006857	biolink:Disease												
MONDO:0005265	biolink:Disease												
MONDO:0006804	biolink:Disease												
MONDO:0001071	biolink:Disease												
MONDO:0005049	biolink:Disease												
MONDO:0002279	biolink:Disease												
MONDO:0005264	biolink:Disease												
MONDO:0005348	biolink:Disease												
MONDO:0003085	biolink:Disease												
MONDO:0010637	biolink:Disease												
MONDO:0005240	biolink:Disease												
MONDO:0006637	biolink:Disease												
MONDO:0013047	biolink:Disease												
MONDO:0018019	biolink:Disease												
MONDO:0004681	biolink:Disease												
MONDO:0018998	biolink:Disease												
MONDO:0005446	biolink:Disease												
MONDO:0005445	biolink:Disease												
MONDO:0004643	biolink:Disease												
MONDO:0005525	biolink:Disease												
MONDO:0006831	biolink:Disease												
MONDO:0005155	biolink:Disease												
MONDO:0006644	biolink:Disease												
MONDO:0005388	biolink:Disease												
MONDO:0005154	biolink:Disease												
MONDO:0100192	biolink:Disease												
MONDO:0019542	biolink:Disease												
MONDO:0002442	biolink:Disease												
MONDO:0012738	biolink:Disease												
MONDO:0005275	biolink:Disease												
MONDO:0015925	biolink:Disease												
MONDO:0002267	biolink:Disease												
MONDO:0007915	biolink:Disease												
MONDO:0005556	biolink:Disease												
MONDO:0018905	biolink:Disease												
MONDO:0020325	biolink:Disease												
MONDO:0018876	biolink:Disease												
MONDO:0003004	biolink:Disease												
MONDO:0005136	biolink:Disease												
MONDO:0013664	biolink:Disease												
MONDO:0009557	biolink:Disease												
MONDO:0007947	biolink:Disease												
MONDO:0007959	biolink:Disease												
