subject	predicate	object	relation	primary_knowledge_source
KEGG:K00013	biolink:participates_in	KEGG:map00340	RO:0000056	infores:kegg
KEGG:K00013	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00013	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00013	biolink:participates_in	KEGG:map01230	RO:0000056	infores:kegg
KEGG:K00013	biolink:participates_in	KEGG:M00026	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map00400	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map00999	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map01230	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:M00022	RO:0000056	infores:kegg
KEGG:K00015	biolink:participates_in	KEGG:map00630	RO:0000056	infores:kegg
KEGG:K00015	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00015	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00015	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map00010	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map00270	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map00640	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map04066	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map04922	RO:0000056	infores:kegg
KEGG:K00016	biolink:participates_in	KEGG:map05230	RO:0000056	infores:kegg
KEGG:K00018	biolink:participates_in	KEGG:map00260	RO:0000056	infores:kegg
KEGG:K00018	biolink:participates_in	KEGG:map00630	RO:0000056	infores:kegg
KEGG:K00018	biolink:participates_in	KEGG:map00680	RO:0000056	infores:kegg
KEGG:K00018	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00018	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00018	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00018	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00018	biolink:participates_in	KEGG:M00346	RO:0000056	infores:kegg
KEGG:K00019	biolink:participates_in	KEGG:map00650	RO:0000056	infores:kegg
KEGG:K00019	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00019	biolink:participates_in	KEGG:M00088	RO:0000056	infores:kegg
KEGG:K00020	biolink:participates_in	KEGG:map00280	RO:0000056	infores:kegg
KEGG:K00020	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00021	biolink:participates_in	KEGG:map00900	RO:0000056	infores:kegg
KEGG:K00021	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00021	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00021	biolink:participates_in	KEGG:map04152	RO:0000056	infores:kegg
KEGG:K00021	biolink:participates_in	KEGG:map04976	RO:0000056	infores:kegg
KEGG:K00021	biolink:participates_in	KEGG:M00095	RO:0000056	infores:kegg
KEGG:K00021	biolink:participates_in	KEGG:M00849	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map00062	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map00071	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map00280	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map00310	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map00380	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map00650	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map00907	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map00930	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:map01212	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:M00032	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:M00085	RO:0000056	infores:kegg
KEGG:K00022	biolink:participates_in	KEGG:M00087	RO:0000056	infores:kegg
KEGG:K00023	biolink:participates_in	KEGG:map00630	RO:0000056	infores:kegg
KEGG:K00023	biolink:participates_in	KEGG:map00650	RO:0000056	infores:kegg
KEGG:K00023	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00023	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00023	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00023	biolink:participates_in	KEGG:M00373	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map00020	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map00270	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map00566	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map00630	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map00680	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map00710	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map00720	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00009	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00011	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00012	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00168	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00173	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00346	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00374	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00620	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00740	RO:0000056	infores:kegg
KEGG:K00024	biolink:participates_in	KEGG:M00982	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map00020	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map00270	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map00566	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map00630	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map00710	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:map04964	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:M00009	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:M00011	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:M00012	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:M00168	RO:0000056	infores:kegg
KEGG:K00025	biolink:participates_in	KEGG:M00171	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map00020	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map00270	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map00566	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map00630	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map00710	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:M00009	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:M00011	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:M00012	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:M00168	RO:0000056	infores:kegg
KEGG:K00026	biolink:participates_in	KEGG:M00171	RO:0000056	infores:kegg
KEGG:K00027	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00027	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00027	biolink:participates_in	KEGG:map02020	RO:0000056	infores:kegg
KEGG:K00028	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00028	biolink:participates_in	KEGG:map00710	RO:0000056	infores:kegg
KEGG:K00028	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
