orig_node	entity_uri
Pseudonocardiaceae	NCBITaxon:2070
Rhizobium	NCBITaxon:379
Enterobacteriaceae bacterium	NCBITaxon:1849603
Salmonella enterica	NCBITaxon:28901
Bacillus coagulans	NCBITaxon:1398
Bacteroides pectinophilus	NCBITaxon:384638
Prevotella bryantii	NCBITaxon:77095
Lactobacillus coleohominis	NCBITaxon:181675
Streptococcus gallolyticus	NCBITaxon:315405
Lactobacillus brevis	NCBITaxon:1580
Methylotenera mobilis	NCBITaxon:359408
Paracoccus aminovorans	NCBITaxon:34004
Treponema amylovorum	NCBITaxon:59892
Staphylococcus equorum	NCBITaxon:246432
Sphingomonas changbaiensis	NCBITaxon:529705
Methylobacterium adhaesivum	NCBITaxon:333297
Anoxybacillus kestanbolensis	NCBITaxon:227476
Pseudoxanthomonas mexicana	NCBITaxon:128785
Sphingobium xenophagum	NCBITaxon:121428
Rathayibacter caricis	NCBITaxon:110936
Janthinobacterium lividum	NCBITaxon:29581
Sphingomonas yabuuchiae	NCBITaxon:172044
Bacillus flexus	NCBITaxon:86664
Jeotgalicoccus psychrophilus	NCBITaxon:157228
Acidobacteria	NCBITaxon:57723
Neisseriaceae	NCBITaxon:481
Spirochaetaceae	NCBITaxon:137
Anaeroglobus geminatus	NCBITaxon:156456
Enterobacter asburiae	NCBITaxon:61645
Megasphaera micronuciformis	NCBITaxon:187326
Paraprevotella clara	NCBITaxon:454154
Bosea	NCBITaxon:85413
Lactobacillus bulgaricus	NCBITaxon:1585
Lactobacillus rhamnosus	NCBITaxon:47715
Streptomyces	NCBITaxon:1883
Sporobacter	NCBITaxon:44748
Bradyrhizobiaceae	NCBITaxon:41294
Actinomyces naeslundii	NCBITaxon:1655
Scardovia wiggsiae	NCBITaxon:230143
Delftia	NCBITaxon:80865
Mycoplana	NCBITaxon:13159
Clostridium xylanovorans	NCBITaxon:100134
Peptoniphilus gorbachii	NCBITaxon:411567
Acetanaerobacterium elongatum	NCBITaxon:258515
Bifidobacterium animalis	NCBITaxon:28025
Stoquefichus massiliensis	NCBITaxon:1470350
Blautia glucerasea	NCBITaxon:536633
Bacteroides dorei	NCBITaxon:357276
Catabacter hongkongensis	NCBITaxon:270498
Lactobacillus mucosae	NCBITaxon:1130798
Papillibacter cinnamivorans	NCBITaxon:100176
Butiricimonas	NCBITaxon:574697
Enterobacter aerogenes	NCBITaxon:548
Atopobium parvulum	NCBITaxon:1382
Cloacibacillus	NCBITaxon:508459
Butyricicoccus	NCBITaxon:580596
Fusicatenibacter saccharivorans	NCBITaxon:1150298
Clostridium oroticum	NCBITaxon:1544
Adlercreutzia	NCBITaxon:447020
Prevotella jejuni	NCBITaxon:1177574
Edaphobacter aggregans	NCBITaxon:570835
Bradyrhizobium	NCBITaxon:374
Eubacterium hallii	NCBITaxon:39488
Bifidobacterium pseudocatenulatum	NCBITaxon:28026
Collinsella aerofaciens	NCBITaxon:74426
Blautia luti	NCBITaxon:89014
Lactobacillus jensenii	NCBITaxon:109790
Mycoplasma hominis	NCBITaxon:2098
Ureaplasma parvum	NCBITaxon:134821
Anaerococcus vaginalis	NCBITaxon:33037
Finegoldia magna	NCBITaxon:1260
Ureaplasma	NCBITaxon:2129
Lactobacillus vaginalis	NCBITaxon:1633
Staphylococcus pasteuri	NCBITaxon:45972
Lactobacillus delbrueckii	NCBITaxon:1584
Enterococcus hirae	NCBITaxon:1354
Mycoplasma genitalium	NCBITaxon:2097
Sediminibacterium	NCBITaxon:504481
Nitrososphaera	NCBITaxon:497726
Erysipelotrichia	NCBITaxon:526524
Mitsuokella multacida	NCBITaxon:52226
Prevotella buccae	NCBITaxon:28126
Phascolarctobacterium succinatutens	NCBITaxon:626940
Mycobacterium tuberculosis	NCBITaxon:1773
Shigella sonnei	NCBITaxon:624
Achromobacter	NCBITaxon:222
Mageeibacillus indolicus	NCBITaxon:884684
Rhodocyclaceae	NCBITaxon:75787
Brevibacillus	NCBITaxon:55080
Armatimonadetes	NCBITaxon:67819
Candidatus brocadia	NCBITaxon:380240
Sulfuricella	NCBITaxon:935200
Thauera	NCBITaxon:33057
Geothrix	NCBITaxon:44675
Dyella	NCBITaxon:231454
Listeriaceae	NCBITaxon:186820
Bacillaceae	NCBITaxon:186817
Desulfovibrionaceae	NCBITaxon:194924
Hydrogenophilaceae	NCBITaxon:206349
Hyphomicrobiaceae	NCBITaxon:45401
Clostridium XIVb	NCBITaxon:1485
Mitsuokella	NCBITaxon:52225
Pasteurellales	NCBITaxon:135625
Akkermansiaceae	NCBITaxon:1647988
Bilophila wadsworthia	NCBITaxon:35833
Ammoniphilus	NCBITaxon:66862
Fusicatenibacter	NCBITaxon:1407607
Parabacteroides merdae	NCBITaxon:46503
Alistipes finegoldii	NCBITaxon:214856
Lachnospiraceae bacterium	NCBITaxon:1898203
Leptotrichia buccalis	NCBITaxon:40542
Erysipelatoclostridium	NCBITaxon:1505663
Cetobacterium	NCBITaxon:180162
Synergistes	NCBITaxon:2753
Vivictivallis	NCBITaxon:172900
Defluviitalea	NCBITaxon:1185408
Thermicanus	NCBITaxon:94008
Pseudoxanthomonas	NCBITaxon:83618
Eikenella	NCBITaxon:538
Saprolegnia	NCBITaxon:4769
Intestinimonas	NCBITaxon:1392389
Mycobacterium	NCBITaxon:1763
Dolosigranulum	NCBITaxon:29393
Streptobacillus	NCBITaxon:34104
Lautropia	NCBITaxon:47670
Aquabacterium parvum	NCBITaxon:70584
Epulopiscium	NCBITaxon:2383
Acholeplasma	NCBITaxon:2147
Candidatus phytoplasma	NCBITaxon:33926
Amaricoccus	NCBITaxon:56999
Anaeromyxobacter	NCBITaxon:161492
Aquicella	NCBITaxon:254245
Arsenicicoccus	NCBITaxon:267408
Azospirillum	NCBITaxon:191
Chitinimonas	NCBITaxon:240411
Chlorobaculum	NCBITaxon:256319
Dokdonella	NCBITaxon:323413
Gallionella	NCBITaxon:96
Geobacter	NCBITaxon:28231
Idiomarina	NCBITaxon:135575
Kaistia	NCBITaxon:166953
Kribbella	NCBITaxon:182639
Arcanobacterium	NCBITaxon:28263
Blautia wexlerae	NCBITaxon:418240
Blautia caecimuris	NCBITaxon:1796615
Odoribacter laneus	NCBITaxon:626933
Alistipes obesi	NCBITaxon:1118061
Alistipes ihumii	NCBITaxon:1470347
Mucor racemosus	NCBITaxon:4841
Clostridiales	NCBITaxon:186802
Janibacter	NCBITaxon:53457
Syntrophomonas	NCBITaxon:862
Dietzia	NCBITaxon:37914
Sphingobium	NCBITaxon:165695
Weissella	NCBITaxon:46255
Pediococcus	NCBITaxon:1253
Vampirovibrio	NCBITaxon:213484
Acetivibrio	NCBITaxon:35829
Fusobacteriales	NCBITaxon:203491
Chitinophagaceae	NCBITaxon:563835
Turicella	NCBITaxon:144193
Corynebacteriaceae	NCBITaxon:1653
Dermabacteraceae	NCBITaxon:85020
Micromonosporaceae	NCBITaxon:28056
Paraeggerthella	NCBITaxon:651554
Planococcaceae	NCBITaxon:186818
Gallibacterium	NCBITaxon:155493
Weeksella	NCBITaxon:1013
Spirodela	NCBITaxon:4473
Lonepinella	NCBITaxon:53416
Kineococcus	NCBITaxon:33981
Alloscardovia	NCBITaxon:419014
Psychromonas	NCBITaxon:67572
Methanothermobacter	NCBITaxon:145260
Gulbenkiania	NCBITaxon:397456
Clostridium neonatale	NCBITaxon:137838
Fluviicola	NCBITaxon:332102
Pseudarcicella	NCBITaxon:1664383
Mogibacterium diversum	NCBITaxon:114527
Alloprevotella rava	NCBITaxon:671218
Catonella morbi	NCBITaxon:43997
Cardiobacterium hominis	NCBITaxon:2718
Oribacterium asaccharolyticum	NCBITaxon:1501332
Capnocytophaga leadbetteri	NCBITaxon:327575
Anaerococcus lactolyticus	NCBITaxon:33032
Varibaculum cambriense	NCBITaxon:184870
Propionimicrobium lymphophilum	NCBITaxon:33012
Helcococcus	NCBITaxon:31983
Brachybacterium	NCBITaxon:43668
Paludibacter	NCBITaxon:346096
Ascomycota	NCBITaxon:4890
Pichia	NCBITaxon:4919
Penicillium brevicompactum	NCBITaxon:5074
Alternaria	NCBITaxon:5598
Candida albicans	NCBITaxon:5476
Candida tropicalis	NCBITaxon:5482
Nakaseomyces	NCBITaxon:374468
Malassezia restricta	NCBITaxon:76775
Clostridium citroniae	NCBITaxon:358743
Porphyromonas asaccharolytica	NCBITaxon:28123
Candidatus portiera	NCBITaxon:235572
Providencia	NCBITaxon:586
Prevotella veroralis	NCBITaxon:28137
Lachnoanaerobaculum orale	NCBITaxon:979627
Mogibacterium neglectum	NCBITaxon:114528
Romboutsia	NCBITaxon:1501226
Streptococcus infantis	NCBITaxon:68892
Streptococcus alactolyticus	NCBITaxon:29389
Streptococcus equi	NCBITaxon:1336
Adlercreutzia equolifaciens	NCBITaxon:446660
Clostridium colinum	NCBITaxon:36835
Trophyrema	NCBITaxon:2038
Halothiobacillus	NCBITaxon:109262
Saccharophagus	NCBITaxon:316625
Deferribacter	NCBITaxon:53572
Halorubrum	NCBITaxon:56688
Anabaena	NCBITaxon:1163
Nitrosospira	NCBITaxon:35798
Saccharomyces cerevisiae	NCBITaxon:4932
Malassezia globosa	NCBITaxon:76773
Malassezia sympodialis	NCBITaxon:76777
Gibberella moniliformis	NCBITaxon:117187
Alternaria brassicicola	NCBITaxon:29001
Cryptococcus neoformans	NCBITaxon:5207
Saccharomyces castellii	NCBITaxon:27288
Aspergillus clavatus	NCBITaxon:5057
Caulobacteriaceae	NCBITaxon:76892
Limnobacter	NCBITaxon:131079
Candida glabrata	NCBITaxon:5478
Cystofilobasidiaceae	NCBITaxon:165808
Dioszegia	NCBITaxon:165440
Leptosphaeria	NCBITaxon:5021
Pleosporales	NCBITaxon:92860
Trichosporon	NCBITaxon:5552
Gymnopilus	NCBITaxon:86085
Psathyrella artemisiae	NCBITaxon:443882
Cortinariaceae	NCBITaxon:34450
Hymenochaete	NCBITaxon:139379
Monilinia	NCBITaxon:38447
Rhodobacteraceae	NCBITaxon:31989
Malasseziales incertae sedis	NCBITaxon:162474
Lasiosphaeriaceae	NCBITaxon:42302
Thelephoraceae	NCBITaxon:56488
Hyaloscyphaceae	NCBITaxon:47743
Sclerodermataceae	NCBITaxon:37466
Pyronemataceae	NCBITaxon:110846
Montagnulaceae	NCBITaxon:221678
Synergistaceae	NCBITaxon:649777
Vibrisseaceae	NCBITaxon:292493
Marasmiaceae	NCBITaxon:654128
Glomeraceae	NCBITaxon:36751
Russulaceae	NCBITaxon:5401
Inocybaceae	NCBITaxon:665596
Lophiostomataceae	NCBITaxon:45147
Tuberaceae	NCBITaxon:40289
Human adenovirus	NCBITaxon:1907210
Respiratory syncytial virus	NCBITaxon:12814
Human coronavirus	NCBITaxon:694448
Malassezia furfur	NCBITaxon:55194
HSV-1	NCBITaxon:10298
EBV	NCBITaxon:10376
CMV	NCBITaxon:10358
Prevotella enoeca	NCBITaxon:76123
Actinomyces urogenitalis	NCBITaxon:103621
Prevotella bergensis	NCBITaxon:242750
Neisseria meningitidis	NCBITaxon:487
Neisseria subflava	NCBITaxon:28449
Enhydrobacter aerosaccus	NCBITaxon:225324
Fibrobacter succinogenes	NCBITaxon:833
Corynebacterium efficiens	NCBITaxon:152794
Corynebacterium matruchotii	NCBITaxon:43768
Thermonospora curvata	NCBITaxon:2020
Streptococcus pyogenes	NCBITaxon:1314
Treponema vincentii	NCBITaxon:69710
Fretibacterium	NCBITaxon:1434006
Johnsonella ignava	NCBITaxon:43995
Ralstonia insidiosa	NCBITaxon:190721
Clavibacter michiganensis	NCBITaxon:28447
Fusobacterium naviforme	NCBITaxon:77917
Exiguobacterium oxidotolerans	NCBITaxon:223958
Moraxella osloensis	NCBITaxon:34062
Dolosigranulum pigrum	NCBITaxon:29394
Neisseria oralis	NCBITaxon:1107316
Bacteroides salyersiae	NCBITaxon:291644
Paraprevotella xylaniphila	NCBITaxon:454155
Burkholderiales bacterium	NCBITaxon:1891238
SR1	NCBITaxon:not_found
Actinobaculum schaalii	NCBITaxon:59505
Actinomyces neuii	NCBITaxon:33007
Aerococcus urinae	NCBITaxon:1376
Arhtrobacter cumminsii	NCBITaxon:156979
Corynebacterium coyleae	NCBITaxon:53374
Corynebacterium riegelii	NCBITaxon:156976
Oligella urethralis	NCBITaxon:90245
Rubellimicrobium	NCBITaxon:295418
Knoellia	NCBITaxon:136099
Hyphomonas	NCBITaxon:85
Lupinus	NCBITaxon:3869
Oenothera	NCBITaxon:3939
Pseudochrobactrum	NCBITaxon:354349
Pseudidiomarina	NCBITaxon:135575
Allobaculum	NCBITaxon:174708
Succinatimonas	NCBITaxon:674963
Cardiobacterium valvarum	NCBITaxon:194702
Prevotella loescheii	NCBITaxon:840
Treponema medium	NCBITaxon:58231
Methanoculleus	NCBITaxon:45989
Methanomethylophilus	NCBITaxon:1291539
Fusobacterium mortiferum	NCBITaxon:850
Acidiphilium	NCBITaxon:522
Burkholderia fungorum	NCBITaxon:134537
Leucobacter	NCBITaxon:55968
Mitsuaria	NCBITaxon:65047
Limnohabitans	NCBITaxon:665874
Blautia producta	NCBITaxon:33035
Hepadnaviridae	NCBITaxon:10404
Polydnaviridae	NCBITaxon:10482
Tymoviridae	NCBITaxon:249184
Hepeviridae	NCBITaxon:291484
Virgaviridae	NCBITaxon:675071
Lactobacillus sp. L-YJ	NCBITaxon:215530
Wautersiella	NCBITaxon:343873
Chryseobacterium	NCBITaxon:59732
Lactococcus lactis	NCBITaxon:1358
Succinivibrionaceae	NCBITaxon:83763
Neisseria gonorrhoeae	NCBITaxon:485
Sutterella sanguinus	NCBITaxon:282125
Sutterella morbirenis	NCBITaxon:293545
Porphyromonas somerae	NCBITaxon:322095
Monascus purpureus	NCBITaxon:5098
Eurotiomycetes	NCBITaxon:147545
Ophiostomataceae	NCBITaxon:5152
Rhodotorula dairenensis	NCBITaxon:86832
Aspergillus penicillioides	NCBITaxon:41959
Penicillium brocae	NCBITaxon:201291
Eremothecium sinecaudum	NCBITaxon:45286
Thermomyces lanuginosus	NCBITaxon:5541
Penicillium dierckxii	NCBITaxon:121611
Wallemia mellicola	NCBITaxon:1708541
Aspergillus austroafricanus	NCBITaxon:1220192
Pseudozyma churashimaensis	NCBITaxon:745057
Ustilaginaceae	NCBITaxon:5268
Penicillium steckii	NCBITaxon:303698
Leuconostocaceae	NCBITaxon:81850
Flavobacteriaceae	NCBITaxon:49546
Agrobacterium	NCBITaxon:357
Meiothermus	NCBITaxon:65551
Rhodoplanes	NCBITaxon:29407
Rhodotorula mucilaginosa	NCBITaxon:5537
Macrococcus	NCBITaxon:69965
Marinicella	NCBITaxon:863253
Williamsia	NCBITaxon:85043
Dermabacter	NCBITaxon:36739
Gallicola	NCBITaxon:162290
Vogesella	NCBITaxon:57739
Larkinella	NCBITaxon:332157
Roseateles	NCBITaxon:93681
Hyphomicrobium	NCBITaxon:81
Diaphorobacter	NCBITaxon:238749
Succiniclasticum	NCBITaxon:40840
Candida	NCBITaxon:1535326
Aspergillus	NCBITaxon:5052
Filobasidium	NCBITaxon:5209
Malassezia	NCBITaxon:55193
Nevskia	NCBITaxon:64001
Nocardioidaceae	NCBITaxon:85015
Propionicimonas	NCBITaxon:236052
Methylobacteriaceae	NCBITaxon:119045
Epsilonproteobacteria	NCBITaxon:29547
Clostridium cluster XIVb	NCBITaxon:not_found
Scardovia	NCBITaxon:196081
Sellimonas	NCBITaxon:1769710
Carnobacterium	NCBITaxon:2747
Neisseria sicca	NCBITaxon:490
Fusobacterium canifelinum	NCBITaxon:285729
Prevotella denticola	NCBITaxon:28129
Lawsonella	NCBITaxon:1847725
Novispirillum	NCBITaxon:660514
Stemphylium	NCBITaxon:95729
Myxotrichaceae	NCBITaxon:37240
Acidimicrobiales	NCBITaxon:84993
Gluconacetobacter	NCBITaxon:89583
Hydrogenophaga	NCBITaxon:47420
Sphingopyxis	NCBITaxon:165697
Rhodobacter	NCBITaxon:1060
Alkaliphilus	NCBITaxon:114627
Mortierella	NCBITaxon:4855
Rhizopus	NCBITaxon:4842
Kluyveromyces	NCBITaxon:4910
Embellisia	NCBITaxon:1868208
Haematonectria	NCBITaxon:40620
Ureaplasma parvum serovar 3	NCBITaxon:38504
Candidatus tammella	NCBITaxon:435139
Snowella rosea	NCBITaxon:357279
Sphingobacterium bambusae	NCBITaxon:662858
Campylobacter showae	NCBITaxon:204
Dysgonomonas wimpennyi	NCBITaxon:286119
Selenomonas infelix	NCBITaxon:135082
Neisseria lactamica	NCBITaxon:486
Acinetobacter gerneri	NCBITaxon:202952
Actinomyces meyeri	NCBITaxon:52773
Streptococcus tigurinus	NCBITaxon:1077464
Mannheimia caviae	NCBITaxon:879276
Acinetobacter antiviralis	NCBITaxon:363192
Acinetobacter baumannii	NCBITaxon:470
Acinetobacter rhizosphaerae	NCBITaxon:243922
Acinetobacter calcoaceticus	NCBITaxon:471
Lactococcus garvieae	NCBITaxon:1363
Aerococcaceae	NCBITaxon:186827
Gelria	NCBITaxon:189326
Rhodanobacter	NCBITaxon:75309
Luteibacter	NCBITaxon:242605
Ruminococcus bicirculans	NCBITaxon:1160721
Saccharibacter	NCBITaxon:231052
Enterococcus durans	NCBITaxon:53345
Enterobacter ludwigii	NCBITaxon:299767
Coprococcus comes	NCBITaxon:410072
Bacteroides faecis	NCBITaxon:674529
Candidatus arthromitus	NCBITaxon:49082
Chaetomiaceae	NCBITaxon:35718
Erysiphaceae	NCBITaxon:34371
Pseudeurotiaceae	NCBITaxon:34379
Lipomycetaceae	NCBITaxon:29827
Acremonium	NCBITaxon:1036680
Thielaviopsis	NCBITaxon:60496
Moniliophthora	NCBITaxon:221102
Pisolithus	NCBITaxon:37467
Rhodotorula	NCBITaxon:5533
Marseillibacter massiliensis	NCBITaxon:1852369
Xanthomonas	NCBITaxon:338
Actinotalea	NCBITaxon:458839
Alishewanella	NCBITaxon:111142
Pseudoclavibacter	NCBITaxon:255204
Eubacterium sulci	NCBITaxon:143393
Lysinibacillus	NCBITaxon:400634
Oceanobacillus	NCBITaxon:182709
Devosia	NCBITaxon:46913
Ruminofilibacter	NCBITaxon:340117
Jatrophihabitans	NCBITaxon:1434010
Vibrio	NCBITaxon:662
Roseolovirus	NCBITaxon:40272
Bacteroides clarus	NCBITaxon:626929
Psychrobacter pulmonis	NCBITaxon:228654
Bacteroides xylanolyticus	NCBITaxon:384636
Holdemanella	NCBITaxon:1573535
Faecalicoccus	NCBITaxon:1573536
Intestinibacter	NCBITaxon:1505657
Ezakiella	NCBITaxon:1582879
Candidatus soleaferrea	NCBITaxon:1470353
Eubacterium xylanophilum	NCBITaxon:39497
Murdochiella	NCBITaxon:1161127
Negativicoccus	NCBITaxon:909928
Pseudothermotoga	NCBITaxon:1643951
Wolbachia	NCBITaxon:953
Candidatus Endolissoclinum	NCBITaxon:1263978
Lysobacter	NCBITaxon:68
Candidatus	NCBITaxon:not_found
Sphingobium yanoikuyae	NCBITaxon:13690
Xanthobacteraceae	NCBITaxon:335928
Kocuria palustris	NCBITaxon:71999
Gordonia	NCBITaxon:2053
Penicillium	NCBITaxon:5073
Capnodiales	NCBITaxon:134362
Debaryomyces hansenii	NCBITaxon:4959
Candida railensis	NCBITaxon:45579
Malassezia slooffiae	NCBITaxon:76776
Naganishia diffluens	NCBITaxon:89919
Penicillium miczynskii	NCBITaxon:36645
Blastomonas	NCBITaxon:150203
Microviridae	NCBITaxon:10841
Myoviridae	NCBITaxon:10662
Podoviridae	NCBITaxon:10744
Pneumoviridae	NCBITaxon:11244
Anelloviridae	NCBITaxon:687329
Orthopneumovirus	NCBITaxon:1868215
Coccolithovirus	NCBITaxon:346673
Mimivirus	NCBITaxon:315393
Orthopoxvirus	NCBITaxon:10242
Exophiala	NCBITaxon:5583
Acroconidiella	NCBITaxon:644564
Calyptella capula	NCBITaxon:181966
Fusarium solani	NCBITaxon:169388
Gibberella	NCBITaxon:5506
Lasiodiplodia pseudotheobromae	NCBITaxon:466954
Mortierella alpina	NCBITaxon:64518
Mycocentrospora	NCBITaxon:227733
Pichia exigua	NCBITaxon:1171599
Preussia tetramera	NCBITaxon:718247
Rhizopus oryzae	NCBITaxon:64495
Pezoloma ericae	NCBITaxon:1745343
Stagonosporopsis cucurbitacearum	NCBITaxon:749889
Aspergillus gracilis	NCBITaxon:41958
Issatchenkia	NCBITaxon:4908
Entyloma	NCBITaxon:62636
Dipodascus	NCBITaxon:27314
Hanseniaspora	NCBITaxon:29832
Hypsizygus	NCBITaxon:39965
Wallemia	NCBITaxon:148959
Naganishia	NCBITaxon:1851509
Leucosporidium	NCBITaxon:5277
Deinococcus	NCBITaxon:1298
Glaciecola	NCBITaxon:89404
Georgenia	NCBITaxon:154116
Sarcandra	NCBITaxon:13669
Cellulomonas	NCBITaxon:1707
Lampropedia	NCBITaxon:198705
Sporosarcina	NCBITaxon:1569
Virgibacillus	NCBITaxon:84406
Yaniella	NCBITaxon:225447
Frigoribacterium	NCBITaxon:96492
Sanguibacter	NCBITaxon:60919
Desulfomicrobium	NCBITaxon:898
Helicobacter pylori	NCBITaxon:210
Anaerovibrio	NCBITaxon:82373
Howardella	NCBITaxon:404402
Lactobacillus taiwanensis	NCBITaxon:508451
Elusimicrobiaceae	NCBITaxon:641876
Dickeya	NCBITaxon:204037
Conexibacteraceae	NCBITaxon:320583
Alysiella	NCBITaxon:194195
Negativicutes	NCBITaxon:909932
Ruminoclostridium cellulolyticum	NCBITaxon:1521
Campylobacter jejuni	NCBITaxon:197
Chloracidobacterium thermophilum B	NCBITaxon:981222
Coraliomargarita akajimensis	NCBITaxon:395922
Spirochaeta thermophila	NCBITaxon:154
Ophiocordyceps	NCBITaxon:474995
Guignardia	NCBITaxon:55180
Lysurus	NCBITaxon:311222
Antrodiella	NCBITaxon:81041
Boletus	NCBITaxon:5369
Facklamia	NCBITaxon:66831
Edwardsiella	NCBITaxon:635
Xenorhabdus	NCBITaxon:626
Collimonas	NCBITaxon:202907
Methylobacterium radiotolerans	NCBITaxon:31998
Bacillus alcalophilus	NCBITaxon:1445
Brachybacterium muris	NCBITaxon:219301
Mycobacterium phlei	NCBITaxon:329
Lactobacillus rossiae	NCBITaxon:231049
Mycobacterium fortuitum	NCBITaxon:1766
Microbacterium barkeri	NCBITaxon:33917
Ralstonia pickettii	NCBITaxon:329
Acinetobacter radioresistens	NCBITaxon:40216
Fastidiospila	NCBITaxon:236752
Erysipelothrix	NCBITaxon:1647
Beijerinckiaceae	NCBITaxon:45404
Deferribacteriales incertae cedis	NCBITaxon:191393
Caldithrix	NCBITaxon:187144
Desulfobacteraceae	NCBITaxon:213119
Citricoccus	NCBITaxon:169133
Fusobacterium perfoetens	NCBITaxon:852
Negativibacillus	NCBITaxon:1980693
Eubacterium dolichum	NCBITaxon:31971
Robinsoniella	NCBITaxon:588605
Aggregatibacter segnis	NCBITaxon:739
Hydrotalea	NCBITaxon:1004300
Clostridium III	NCBITaxon:not_found
Parcubacteria incertae sedis	NCBITaxon:221216
Pirellula	NCBITaxon:123
Verrucomicrobiaceae	NCBITaxon:203557
Rheinheimera	NCBITaxon:67575
Geodermatophilaceae	NCBITaxon:85030
Methylobacillus	NCBITaxon:404
Aciditerrimonas	NCBITaxon:1042325
Parachlamydiaceae	NCBITaxon:92713
Ulvibacter	NCBITaxon:237444
Gp21	NCBITaxon:not_found
Gp7	NCBITaxon:not_found
Latescibacteria incertae sedis	NCBITaxon:74015
Hafnia	NCBITaxon:568
Lactobacillus johnsonii	NCBITaxon:33959
Ralstonia solanacearum	NCBITaxon:305
Eubacteriaceae	NCBITaxon:186806
Rickenellaceae	NCBITaxon:1124673
Sulfurovum	NCBITaxon:265570
Acinetobacter junii	NCBITaxon:40215
Actinomyces europaeus	NCBITaxon:66228
Bacteroides cellulosilyticus	NCBITaxon:246787
Microcella	NCBITaxon:337004
Ottowia	NCBITaxon:219181
Anaerolineaceae	NCBITaxon:292628
Propionibacterium avidum	NCBITaxon:33010
Staphylococcus capitis	NCBITaxon:29388
Neisseria flava	NCBITaxon:34026
Treponema pectinovorum	NCBITaxon:164
Atopobium rimae	NCBITaxon:1383
Streptococcus thoraltensis	NCBITaxon:55085
Lactobacillus paracasei	NCBITaxon:1597
Mogibacterium vescum	NCBITaxon:86333
Kingella denitrificans	NCBITaxon:502
Kingella oralis	NCBITaxon:505
Kazachstania turicensis	NCBITaxon:432100
Monographella nivalis	NCBITaxon:101483
Alternaria alternata	NCBITaxon:5599
Candida solani	NCBITaxon:51925
Vishniacozyma victoriae	NCBITaxon:1895944
Penicillium spinulosum	NCBITaxon:63822
Kazachstania telluris	NCBITaxon:36907
Davidiella tassiana	NCBITaxon:29918
Eisenbergiella	NCBITaxon:1432051
Rhodosporidium	NCBITaxon:5533
Pneumocystis	NCBITaxon:4753
Sterigmatomyces	NCBITaxon:5615
Cryptococcus	NCBITaxon:5206
Davidiella	NCBITaxon:237557
Agathobacter	NCBITaxon:1766253
Muribaculaceae	NCBITaxon:2005473
Buchnera	NCBITaxon:32199
Mycoplasma hyosynoviae	NCBITaxon:29559
Aliihoeflea	NCBITaxon:610116
Pannonibacter	NCBITaxon:227873
Glutamicibacter	NCBITaxon:1742989
Aspergillus fumigatus	NCBITaxon:746128
Bipolaris	NCBITaxon:33194
Chaetomium	NCBITaxon:5149
Debaryomyces	NCBITaxon:4958
Collinsella intestinalis	NCBITaxon:147207
Campylobacter ureolyticus	NCBITaxon:827
Epstein-Barr virus	NCBITaxon:10376
Human papillomavirus	NCBITaxon:10566
Sutterellaceae	NCBITaxon:995019
Stenotrophomas maltophila	NCBITaxon:40324
Neisseria cinerea	NCBITaxon:483
Solitalea	NCBITaxon:929509
Arcobacter	NCBITaxon:28196
Jonquetella anthropi	NCBITaxon:428712
Actinobaculum massiliense	NCBITaxon:202789
Corynebacterium appendicis	NCBITaxon:163202
Mucispirillum	NCBITaxon:248038
Prevotella baroniae	NCBITaxon:305719
Leptothrix	NCBITaxon:88
Brevundimonas diminuta	NCBITaxon:293
Porphyrobacter tepidarius	NCBITaxon:60454
Sphingomonas echinoides	NCBITaxon:59803
Pseudomonas fluorescens	NCBITaxon:294
Leptotrichia goodfellowii	NCBITaxon:157692
Xylophilus	NCBITaxon:54066
Simplicispira	NCBITaxon:352450
Herbaspirillum	NCBITaxon:963
Exiguobacterium	NCBITaxon:33986
Blautia hydrogenotrophica	NCBITaxon:53443
Eisenbergiella tayi	NCBITaxon:1432052
Eisenbergiella massiliensis	NCBITaxon:1720294
Hungatella hathewayi	NCBITaxon:154046
Blautia massiliensis	NCBITaxon:1737424
Agathobaculum desmolans	NCBITaxon:39484
Ruthenibacterium lactatiformans	NCBITaxon:1550024
Blautia hansenii	NCBITaxon:1322
Macellibacteroides fermentans	NCBITaxon:879969
Treponema phagedenis	NCBITaxon:162
Haemophilus haemolyticus	NCBITaxon:726
Laceyella	NCBITaxon:292635
Atopostipes	NCBITaxon:292480
Jonquetella	NCBITaxon:428711
Anaerorhabdus	NCBITaxon:118966
Megamonas rupellensis	NCBITaxon:491921
Phocaeicola	NCBITaxon:909656
Simonsiella	NCBITaxon:71
Myroides	NCBITaxon:76831
Isoptericola	NCBITaxon:254250
Flexilinea	NCBITaxon:1769713
Actinomyces dentalis	NCBITaxon:272548
Actinomyces israelii	NCBITaxon:1659
Pseudopropionibacterium propionicum	NCBITaxon:1750
Alloprevotella tannerae	NCBITaxon:76122
Pseudomonas stutzeri	NCBITaxon:316
Actinomyces georgiae	NCBITaxon:52768
Selenomonas artemidis	NCBITaxon:671224
Schwartzia	NCBITaxon:55506
Epicoccum	NCBITaxon:104397
Galactomyces	NCBITaxon:27316
Candida dubliniensis	NCBITaxon:42374
Saccharomyces	NCBITaxon:4930
Gemmiger formicilis	NCBITaxon:745368
Clostridium cellulovorans	NCBITaxon:1493
