orig_node	entity_uri
Gluconobacter oxydans	NCBITaxon:442
Klebsiella oxytoca	NCBITaxon:571
Enterobacter cloacae	NCBITaxon:550
Hathewaya histolytica	NCBITaxon:1498
Sutterella stercoricanis	NCBITaxon:234908
Veillonellaceae	NCBITaxon:31977
Desulfovibrio desulfuricans	NCBITaxon:876
Desulfovibrio intestinalis	NCBITaxon:58621
Desulfovibrio piger	NCBITaxon:901
Sutterella	NCBITaxon:40544
Clostridium methylpentosum	NCBITaxon:84026
Eubacterium eligens	NCBITaxon:39485
Eubacterium ruminantium	NCBITaxon:42322
Phascolarctobacterium faecium	NCBITaxon:33025
Parabacteroides distasonis	NCBITaxon:823
Prevotella oulorum	NCBITaxon:28136
Collinsella	NCBITaxon:102106
Bifidobacterium angulatum	NCBITaxon:1683
Clostridium leptum	NCBITaxon:1535
Sporobacter termitidis	NCBITaxon:44749
Clostridium aminobutyricum	NCBITaxon:33953
Paraclostridium bifermentans	NCBITaxon:1490
Clostridium butyricum	NCBITaxon:1492
Clostridium clostridioforme	NCBITaxon:1531
Clostridium cocleatum	NCBITaxon:69824
Clostridioides difficile	NCBITaxon:1496
Terrisporobacter glycolicus	NCBITaxon:36841
Clostridium innocuum	NCBITaxon:1522
Clostridium perfringens	NCBITaxon:1502
Erysipelatoclostridium ramosum	NCBITaxon:1547
Clostridium scindens	NCBITaxon:29347
Paeniclostridium sordellii	NCBITaxon:1505
Clostridium spiroforme	NCBITaxon:29348
Clostridium subterminale	NCBITaxon:1550
Clostridium tertium	NCBITaxon:1559
Ruminococcus albus	NCBITaxon:1264
Ruminococcus flavefaciens	NCBITaxon:1265
Ruminococcus lactaris	NCBITaxon:46228
Bacteroidales	NCBITaxon:171549
Oscillibacter	NCBITaxon:459786
Blautia	NCBITaxon:572511
Lachnospiraceae incertae sedis	NCBITaxon:186803
Megamonas	NCBITaxon:158846
Phascolarctobacterium	NCBITaxon:33024
Parasutterella	NCBITaxon:577310
Bacteroidaceae	NCBITaxon:815
Proteobacteria	NCBITaxon:1224
Actinobacteria	NCBITaxon:1760
Ruminococcaceae	NCBITaxon:541000
Methanobrevibacter	NCBITaxon:2172
