id	preferred_term	identifier	mapping_status	ontology_id	ontology_source	mapping_quality	occurrences	parent_ingredient	variant_type
mediadive.ingredient:1863	Methanol solution see below		UNMAPPED				1		
mediadive.ingredient:1633	Methanol-utilizing bacteria medium B		UNMAPPED				1		
mediadive.ingredient:1763	MgNO32 x 6 H2O		UNMAPPED				1		
mediadive.ingredient:1571	micronutrient solution		UNMAPPED				1		
mediadive.ingredient:1958	Mineral solution see Medium No. 976		UNMAPPED				1		
mediadive.ingredient:2071	MnCl4 x 6 H2O		UNMAPPED				1		
mediadive.ingredient:2051	MnII x EDTA		UNMAPPED				1		
mediadive.ingredient:2017	Modified trace vitamins		UNMAPPED				1		
mediadive.ingredient:1955	Modified Wolfe's minerals		UNMAPPED				1		
mediadive.ingredient:1899	MRS broth		UNMAPPED				1		
mediadive.ingredient:1626	MRS medium		UNMAPPED				1		
mediadive.ingredient:2429	Murashige & Skoog medium		UNMAPPED				1		
mediadive.ingredient:2139	Mycobactine J		UNMAPPED				1		
mediadive.ingredient:1608	N-Z amine		UNMAPPED				1		
mediadive.ingredient:2439	N-Z-Amine® A		UNMAPPED				1		
mediadive.ingredient:1829	N-Z-Case		UNMAPPED				1		
mediadive.ingredient:1417	Na-Nitrilotriacetat		UNMAPPED				1		
mediadive.ingredient:717	Na-phosphate buffer		UNMAPPED				1		
mediadive.ingredient:1524	Na-Phosphate-Buffer		UNMAPPED				1		
mediadive.ingredient:868	Na-tetrathionate		UNMAPPED				1		
mediadive.ingredient:2358	Na2 beta-glycerol PO4 x 5 H2O		UNMAPPED				1		
mediadive.ingredient:521	Na2-9,10-anthraquinone-2,6-disulfonate		UNMAPPED				1		
mediadive.ingredient:1651	Na2HPO4-KH2PO4 buffer		UNMAPPED				1		
mediadive.ingredient:1725	Na2HPO4-NaH2PO4 buffer		UNMAPPED				1		
mediadive.ingredient:891	Na2O4W x 2 H2O		UNMAPPED				1		
mediadive.ingredient:1482	Na3-NTA x H2O		UNMAPPED				1		
mediadive.ingredient:175	NaSiO3 x 9 H2O		UNMAPPED				1		
mediadive.ingredient:1462	NdCl3 x 6 H2O		UNMAPPED				1		
mediadive.ingredient:2364	Nutrient agar		UNMAPPED				1		
mediadive.ingredient:2129	OADC Enrichment		UNMAPPED				1		
mediadive.ingredient:502	Ox-bile		UNMAPPED				1		
mediadive.ingredient:1656	Oxgall		UNMAPPED				1		
mediadive.ingredient:2125	OXOID Legionella CYE-Agar base		UNMAPPED				1		
mediadive.ingredient:559	Pennassay Broth		UNMAPPED				1		
mediadive.ingredient:2026	Phosphates solution		UNMAPPED				1		
mediadive.ingredient:867	PIPES buffer		UNMAPPED				1		
mediadive.ingredient:1465	Plain flour		UNMAPPED				1		
mediadive.ingredient:2441	Plant Agar		UNMAPPED				1		
mediadive.ingredient:2081	Polar lipid fraction		UNMAPPED				1		
mediadive.ingredient:812	Poly hexamethylene carbonate		UNMAPPED				1		
mediadive.ingredient:2121	poly-ß-hydroxybutyric acid		UNMAPPED				1		
mediadive.ingredient:300	Poly[R-3-hydroxybutyric acid]		UNMAPPED				1		
mediadive.ingredient:953	PPLO broth		UNMAPPED				1		
mediadive.ingredient:1463	PrCl3 x H2O		UNMAPPED				1		
mediadive.ingredient:1924	Probumin Universal Grade		UNMAPPED				1		
mediadive.ingredient:460	Proteose yeastolate		UNMAPPED				1		
mediadive.ingredient:2092	Pulp of sour stone cherries		UNMAPPED				1		
mediadive.ingredient:1352	Putrescine 2 HCl		UNMAPPED				1		
mediadive.ingredient:1402	R2A Broth		UNMAPPED				1		
mediadive.ingredient:1769	Reinforced clostridial medium		UNMAPPED				1		
mediadive.ingredient:1893	Riboflavin solution see Medium No. 462		UNMAPPED				1		
mediadive.ingredient:145	Rumen fluid		UNMAPPED				1		
mediadive.ingredient:2362	Rye grass		UNMAPPED				1		
mediadive.ingredient:1880	Rye-bran		UNMAPPED				1		
mediadive.ingredient:1622	S6 medium		UNMAPPED				1		
mediadive.ingredient:1279	SABOURAUD- Glucose-Bouillon		UNMAPPED				1		
mediadive.ingredient:1143	Salt Solution I		UNMAPPED				1		
mediadive.ingredient:1144	Salt Solution II		UNMAPPED				1		
mediadive.ingredient:1684	Salts solution		UNMAPPED				1		
mediadive.ingredient:914	Se-acid		UNMAPPED				1		
mediadive.ingredient:2367	Sea salts		UNMAPPED				1		
mediadive.ingredient:1921	Selenite-tungstate solution see Medium No. 431		UNMAPPED				1		
mediadive.ingredient:925	Sigma Sea salts		UNMAPPED				1		
mediadive.ingredient:1281	Sigmacell alpha Type 50		UNMAPPED				1		
mediadive.ingredient:1139	Skirrow supplement		UNMAPPED				1		
mediadive.ingredient:1986	Small dried sardine		UNMAPPED				1		
mediadive.ingredient:2053	Sodium crotonate		UNMAPPED				1		
mediadive.ingredient:485	Solution A		UNMAPPED				1		
mediadive.ingredient:2443	Soya flour		UNMAPPED				1		
mediadive.ingredient:630	Standard I Broth		UNMAPPED				1		
mediadive.ingredient:2041	Steric solution		UNMAPPED				1		
mediadive.ingredient:2094	Sterile serum		UNMAPPED				1		
mediadive.ingredient:960	Swine serum		UNMAPPED				1		
mediadive.ingredient:1856	Thiamine solution see Medium No. 403		UNMAPPED				1		
mediadive.ingredient:805	TitaniumIII chloride		UNMAPPED				1		
mediadive.ingredient:1590	Titriplex1		UNMAPPED				1		
