subject	predicate	object	relation	provided_by
CHEBI:15636	biolink:binds_to	A0A0M3RSZ1		Uniprot
CHEBI:15636	biolink:binds_to	A0A7U7H3Y9		Uniprot
CHEBI:15934	biolink:binds_to	A0A7X9FLZ5		Uniprot
CHEBI:15934	biolink:binds_to	A0A353D8D7		Uniprot
CHEBI:15934	biolink:binds_to	A0A525CLN1		Uniprot
CHEBI:15934	biolink:binds_to	A0A349MVU1		Uniprot
CHEBI:15934	biolink:binds_to	A0A933YZQ7		Uniprot
CHEBI:15934	biolink:binds_to	A0A3D1UES2		Uniprot
CHEBI:15934	biolink:binds_to	A0A6N8BW30		Uniprot
CHEBI:15980	biolink:binds_to	A0A934DMX8		Uniprot
CHEBI:15980	biolink:binds_to	A0A349HGG9		Uniprot
CHEBI:15980	biolink:binds_to	A0A353D7A7		Uniprot
CHEBI:15980	biolink:binds_to	A0A369N6S7		Uniprot
CHEBI:15980	biolink:binds_to	A0A6N8BSG1		Uniprot
CHEBI:15980	biolink:binds_to	A0A358LBU1		Uniprot
CHEBI:15980	biolink:binds_to	A0A525C5T3		Uniprot
CHEBI:15980	biolink:binds_to	A0A7X9FHZ6		Uniprot
CHEBI:16567	biolink:binds_to	A0A8D6UB90		Uniprot
CHEBI:16567	biolink:binds_to	A0A6N8BRE9		Uniprot
CHEBI:16567	biolink:binds_to	A0A0M4HZ02		Uniprot
CHEBI:16567	biolink:binds_to	A0A879WMH1		Uniprot
CHEBI:16567	biolink:binds_to	A0A933Z3D0		Uniprot
CHEBI:16567	biolink:binds_to	A0A879WQT8		Uniprot
CHEBI:16567	biolink:binds_to	A0A7X9FMC1		Uniprot
CHEBI:16567	biolink:binds_to	A0A3C0RRQ3		Uniprot
CHEBI:16567	biolink:binds_to	A0A3G6JPV5		Uniprot
CHEBI:16567	biolink:binds_to	A0A357AV05		Uniprot
CHEBI:16567	biolink:binds_to	A0A525CH11		Uniprot
CHEBI:16845	biolink:binds_to	A0A358LC52		Uniprot
CHEBI:16845	biolink:binds_to	A0A5C5CAC0		Uniprot
CHEBI:16845	biolink:binds_to	A0A369NSA6		Uniprot
CHEBI:16845	biolink:binds_to	A0A2X3V0D1		Uniprot
CHEBI:16845	biolink:binds_to	A0A369MS33		Uniprot
CHEBI:16845	biolink:binds_to	A0A369NFB2		Uniprot
CHEBI:16845	biolink:binds_to	A0A811IEV7		Uniprot
CHEBI:16845	biolink:binds_to	A0A369MKI9		Uniprot
CHEBI:16845	biolink:binds_to	A0A6N8BME7		Uniprot
CHEBI:16845	biolink:binds_to	A0A349HFG1		Uniprot
CHEBI:16845	biolink:binds_to	A0A7U7CAZ1		Uniprot
CHEBI:16845	biolink:binds_to	A0A525C409		Uniprot
CHEBI:16845	biolink:binds_to	A0A369MDH8		Uniprot
CHEBI:16845	biolink:binds_to	A0A3C0RSU1		Uniprot
CHEBI:16991	biolink:binds_to	A0A369MPQ5		Uniprot
CHEBI:16991	biolink:binds_to	A0A2U2MES7		Uniprot
CHEBI:16991	biolink:binds_to	A0A369MLK5		Uniprot
CHEBI:16991	biolink:binds_to	A0A8D6U6K3		Uniprot
CHEBI:16991	biolink:binds_to	A0A0M5K110		Uniprot
CHEBI:16991	biolink:binds_to	A0A8D6U951		Uniprot
CHEBI:16991	biolink:binds_to	A0A349MUP2		Uniprot
CHEBI:16991	biolink:binds_to	A0A349HGW0		Uniprot
CHEBI:16991	biolink:binds_to	A0A7X7BSA9		Uniprot
CHEBI:16991	biolink:binds_to	A0A7X9FKZ3		Uniprot
CHEBI:16991	biolink:binds_to	A0A5C5C716		Uniprot
CHEBI:16991	biolink:binds_to	A0A3D1UA05		Uniprot
CHEBI:16991	biolink:binds_to	A0A6N8BRE4		Uniprot
CHEBI:16991	biolink:binds_to	A0A934DLD8		Uniprot
CHEBI:16991	biolink:binds_to	A0A9Q7DPN9		Uniprot
CHEBI:16991	biolink:binds_to	A0A8D6XSI6		Uniprot
CHEBI:16991	biolink:binds_to	A0A2X3UBE8		Uniprot
CHEBI:16991	biolink:binds_to	A0A525CC35		Uniprot
CHEBI:16991	biolink:binds_to	A0A7X7BQ70		Uniprot
CHEBI:16991	biolink:binds_to	A0A6N3ECL8		Uniprot
CHEBI:16991	biolink:binds_to	A0A2X3UT03		Uniprot
CHEBI:17154	biolink:binds_to	A0A369N8U2		Uniprot
CHEBI:17154	biolink:binds_to	A0A369MCW5		Uniprot
CHEBI:17544	biolink:binds_to	A0A9Q7DK18		Uniprot
CHEBI:17544	biolink:binds_to	A0A3C0RUK7		Uniprot
CHEBI:17544	biolink:binds_to	A0A369M2N3		Uniprot
CHEBI:17568	biolink:binds_to	A0A7X9IIE7		Uniprot
CHEBI:17568	biolink:binds_to	A0A7U7CAY4		Uniprot
CHEBI:17568	biolink:binds_to	A0A3D1U449		Uniprot
CHEBI:17568	biolink:binds_to	A0A369MQM9		Uniprot
CHEBI:17568	biolink:binds_to	A0A933Z2D4		Uniprot
CHEBI:17568	biolink:binds_to	A0A940APT5		Uniprot
CHEBI:17568	biolink:binds_to	A0A0M4HX51		Uniprot
