id	xref
UPA:UCR00271	KEGG:R00271
UPA:UCR00271	METACYC:HOMOCITRATE-SYNTHASE-RXN
UPA:UCR00271	RHEA:12932
UPA:UCR00272	KEGG:R00272
UPA:UCR00272	METACYC:RXN-7774
UPA:UCR00272	RHEA:10527
UPA:UCR00277	KEGG:R00277
UPA:UCR00277	METACYC:PMPOXI-RXN
UPA:UCR00277	RHEA:15820
UPA:UCR00278	KEGG:R00278
UPA:UCR00278	METACYC:PNPOXI-RXN
UPA:UCR00278	RHEA:15152
UPA:UCR00286	KEGG:R00286
UPA:UCR00286	METACYC:UGD-RXN
UPA:UCR00286	RHEA:23599
UPA:UCR00294	KEGG:R00294
UPA:UCR00294	METACYC:NITRIC-OXIDE-REDUCTASE-RXN
UPA:UCR00294	RHEA:10991
UPA:UCR00294	RHEA:30214
UPA:UCR00299	KEGG:R00299
UPA:UCR00299	METACYC:GLUCOKIN-RXN
UPA:UCR00299	RHEA:17828
UPA:UCR00310	KEGG:R00310
UPA:UCR00310	METACYC:PROTOHEMEFERROCHELAT-RXN
UPA:UCR00310	RHEA:22587
UPA:UCR00315	KEGG:R00315
UPA:UCR00315	METACYC:ACETATEKIN-RXN
UPA:UCR00315	RHEA:11355
UPA:UCR00325	KEGG:R00325
UPA:UCR00325	METACYC:CITRAMALATE-LYASE-RXN
UPA:UCR00325	RHEA:15548
UPA:UCR00336	KEGG:R00336
UPA:UCR00336	METACYC:PPGPPSYN-RXN
UPA:UCR00336	RHEA:14256
UPA:UCR00342	KEGG:R00342
UPA:UCR00342	METACYC:MALATE-DEH-RXN
UPA:UCR00342	RHEA:21435
UPA:UCR00351	KEGG:R00351
UPA:UCR00351	METACYC:CITSYN-RXN
UPA:UCR00351	RHEA:16848
UPA:UCR00355	KEGG:R00355
UPA:UCR00355	METACYC:ASPAMINOTRANS-RXN
UPA:UCR00355	RHEA:21827
UPA:UCR00361	KEGG:R00361
UPA:UCR00361	METACYC:MALATE-DEHYDROGENASE-ACCEPTOR-RXN
UPA:UCR00361	RHEA:22559
UPA:UCR00367	KEGG:R00367
UPA:UCR00367	METACYC:GLYCINE-N-METHYLTRANSFERASE-RXN
UPA:UCR00367	RHEA:19940
UPA:UCR00369	KEGG:R00369
UPA:UCR00369	METACYC:ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
UPA:UCR00369	RHEA:24251
UPA:UCR00371	KEGG:R00371
UPA:UCR00371	METACYC:AKBLIG-RXN
UPA:UCR00371	RHEA:20739
UPA:UCR00372	KEGG:R00372
UPA:UCR00372	METACYC:GLYCINE-AMINOTRANSFERASE-RXN
