subject	predicate	object	relation	primary_knowledge_source
NCBITaxon:47715	biolink:occurs_in	mediadive.medium:11	BAO:0002924	bacdive:6424
NCBITaxon:562	biolink:occurs_in	mediadive.medium:381	BAO:0002924	bacdive:4760
NCBITaxon:83453	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:3683
NCBITaxon:1940526	biolink:occurs_in	mediadive.medium:1534	BAO:0002924	bacdive:158272
NCBITaxon:1131610	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:140387
NCBITaxon:391	biolink:occurs_in	mediadive.medium:98	BAO:0002924	bacdive:132789
NCBITaxon:142586	biolink:occurs_in	mediadive.medium:104	BAO:0002924	bacdive:130912
NCBITaxon:1441877	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:130734
NCBITaxon:1280637	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:130591
NCBITaxon:416273	biolink:occurs_in	mediadive.medium:1091	BAO:0002924	bacdive:23036
NCBITaxon:53446	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:16151
NCBITaxon:1938	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:16115
NCBITaxon:1931	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:15851
NCBITaxon:1931	biolink:occurs_in	mediadive.medium:84	BAO:0002924	bacdive:15815
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12484
NCBITaxon:1564	biolink:occurs_in	mediadive.medium:63	BAO:0002924	bacdive:11800
NCBITaxon:1563	biolink:occurs_in	mediadive.medium:63	BAO:0002924	bacdive:11775
NCBITaxon:1123375	biolink:occurs_in	mediadive.medium:63	BAO:0002924	bacdive:10538
NCBITaxon:54	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:10213
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:8888
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:8837
NCBITaxon:502025	biolink:occurs_in	mediadive.medium:958	BAO:0002924	bacdive:5869
NCBITaxon:995054	biolink:occurs_in	mediadive.medium:535b	BAO:0002924	bacdive:5209
NCBITaxon:562	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:4914
NCBITaxon:1506	biolink:occurs_in	mediadive.medium:104c	BAO:0002924	bacdive:2700
NCBITaxon:459347	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:1281
NCBITaxon:2358141	biolink:occurs_in	mediadive.medium:104b	BAO:0002924	bacdive:158907
