id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
mediadive.medium:110	biolink:ChemicalEntity	CHOPPED MEAT MEDIUM WITH CARBOHYDRATES (DSMZ Medium 110)											
NCBITaxon:74426	biolink:OrganismalEntity	Collinsella aerofaciens											
mediadive.medium:1203a	biolink:ChemicalEntity	FASTIDIOUS ANAEROBE BROTH (DSMZ Medium 1203a)											
NCBITaxon:1940790	biolink:OrganismalEntity	Sedimentisphaera cyanobacteriorum											
mediadive.medium:1527	biolink:ChemicalEntity	SEDIMENTISPHAERA (L21 HS) MEDIUM (DSMZ Medium 1527)											
NCBITaxon:267	biolink:OrganismalEntity	Paracoccus sp. (in: a-proteobacteria)											
NCBITaxon:1086726	biolink:OrganismalEntity	Francisella persica ATCC VR-331											
mediadive.medium:1600	biolink:ChemicalEntity	FRANCISELLA PERSICA MEDIUM (DSMZ Medium 1600)											
NCBITaxon:1410681	biolink:OrganismalEntity	Methyloglobulus morosus											
mediadive.medium:1132	biolink:ChemicalEntity	LC 2 (DSMZ Medium 1132)											
NCBITaxon:767916	biolink:OrganismalEntity	Mycobacterium paraense											
mediadive.medium:645	biolink:ChemicalEntity	MIDDLEBROOK MEDIUM (DSMZ Medium 645)											
NCBITaxon:559956	biolink:OrganismalEntity	Celerinatantimonas yamalensis											
NCBITaxon:453582	biolink:OrganismalEntity	Rhodobacter aestuarii											
mediadive.medium:27	biolink:ChemicalEntity	RHODOSPIRILLACEAE MEDIUM (modified) (DSMZ Medium 27)											
NCBITaxon:2074	biolink:OrganismalEntity	Pseudonocardia autotrophica											
mediadive.medium:214	biolink:ChemicalEntity	GYM+S MEDIUM (DSMZ Medium 214)											
NCBITaxon:688246	biolink:OrganismalEntity	Hallella multisaccharivorax DSM 17128											
mediadive.medium:104	biolink:ChemicalEntity	PYG MEDIUM (MODIFIED) (DSMZ Medium 104)											
NCBITaxon:2014	biolink:OrganismalEntity	Nocardiopsis dassonvillei											
NCBITaxon:1823	biolink:OrganismalEntity	Nocardia otitidiscaviarum											
mediadive.medium:426	biolink:ChemicalEntity	ORGANIC MEDIUM 79 (DSMZ Medium 426)											
NCBITaxon:54	biolink:OrganismalEntity	Nannocystis exedens											
NCBITaxon:47715	biolink:OrganismalEntity	Lacticaseibacillus rhamnosus											
mediadive.medium:11	biolink:ChemicalEntity	MRS MEDIUM (DSMZ Medium 11)											
NCBITaxon:83453	biolink:OrganismalEntity	Melittangium boletus											
NCBITaxon:1940526	biolink:OrganismalEntity	Labilibaculum filiforme											
mediadive.medium:1534	biolink:ChemicalEntity	ORENIA SALINARIA MEDIUM (DSMZ Medium 1534)											
NCBITaxon:1131610	biolink:OrganismalEntity	Vibrio zhuhaiensis											
NCBITaxon:391	biolink:OrganismalEntity	Rhizobium sp.											
mediadive.medium:98	biolink:ChemicalEntity	RHIZOBIUM MEDIUM (DSMZ Medium 98)											
NCBITaxon:142586	biolink:OrganismalEntity	Eubacterium sp.											
NCBITaxon:1441877	biolink:OrganismalEntity	Streptosporangium kronopolitis											
NCBITaxon:1280637	biolink:OrganismalEntity	Saccharothrix carnea											
NCBITaxon:416273	biolink:OrganismalEntity	Natronomonas moolapensis											
mediadive.medium:1091	biolink:ChemicalEntity	HALOQUADRATUM WALSBYI MEDIUM (DSMZ Medium 1091)											
NCBITaxon:53446	biolink:OrganismalEntity	Streptomyces cinnamoneus											
NCBITaxon:1938	biolink:OrganismalEntity	Streptomyces viridochromogenes											
mediadive.medium:84	biolink:ChemicalEntity	ROLLED OATS MINERAL MEDIUM (DSMZ Medium 84)											
NCBITaxon:1564	biolink:OrganismalEntity	Desulforamulus ruminis											
mediadive.medium:63	biolink:ChemicalEntity	DESULFOVIBRIO (POSTGATE) MEDIUM (DSMZ Medium 63)											
NCBITaxon:1563	biolink:OrganismalEntity	Desulfosporosinus orientis											
NCBITaxon:1123375	biolink:OrganismalEntity	Thermodesulfovibrio islandicus DSM 12570											
NCBITaxon:502025	biolink:OrganismalEntity	Haliangium ochraceum DSM 14365											
mediadive.medium:958	biolink:ChemicalEntity	VY/4-SWS AGAR (DSMZ Medium 958)											
NCBITaxon:995054	biolink:OrganismalEntity	Xenorhabdus magdalenensis											
