CHEBI:10324	CAS-RN:568-53-6
CHEBI:10328	CAS-RN:88256-05-7
CHEBI:10329	CAS-RN:132-13-8
CHEBI:10330	CAS-RN:115-71-9
CHEBI:10332	CAS-RN:17909-77-2
CHEBI:10333	CAS-RN:481-18-5
CHEBI:10334	CAS-RN:99-86-5
CHEBI:10335	CAS-RN:1081-34-1
CHEBI:10339	CAS-RN:15764-04-2
CHEBI:10341	CAS-RN:14912-44-8
CHEBI:10352	CAS-RN:559-70-6
CHEBI:10353	CAS-RN:5273-86-9
CHEBI:10357	CAS-RN:87-44-5
CHEBI:10359	CAS-RN:18431-82-8
CHEBI:10360	CAS-RN:1117-61-9
CHEBI:10361	CAS-RN:161748-46-5
CHEBI:10362	CAS-RN:472-70-8
CHEBI:10363	CAS-RN:13744-15-5
CHEBI:10364	CAS-RN:2221-82-1
CHEBI:10365	CAS-RN:31008-70-5
CHEBI:10366	CAS-RN:579-04-4
CHEBI:10368	CAS-RN:4481-08-7
CHEBI:103855	CAS-RN:103-86-6
CHEBI:103932	CAS-RN:120054-86-6
CHEBI:103934	CAS-RN:95-27-2
CHEBI:104	CAS-RN:2623-23-6
CHEBI:1040	CAS-RN:69125-10-6
CHEBI:104011	CAS-RN:61-78-9
CHEBI:104017	CAS-RN:91-85-0
CHEBI:104120	CAS-RN:547-65-9
CHEBI:10415	CAS-RN:60617-12-1
CHEBI:10417	CAS-RN:473-15-4
CHEBI:10418	CAS-RN:18794-84-8
CHEBI:10419	CAS-RN:35790-95-5
CHEBI:10423	CAS-RN:6786-76-1
CHEBI:10429	CAS-RN:4707-32-8
CHEBI:10432	CAS-RN:135-19-3
CHEBI:10435	CAS-RN:467-79-8
CHEBI:10437	CAS-RN:23978-65-6
CHEBI:10439	CAS-RN:88256-04-6
CHEBI:10440	CAS-RN:511-59-1
CHEBI:10441	CAS-RN:77-42-9
CHEBI:10443	CAS-RN:17066-67-0
CHEBI:10444	CAS-RN:60066-88-8
CHEBI:10445	CAS-RN:24282-31-3
CHEBI:10447	CAS-RN:499-44-5
CHEBI:10448	CAS-RN:18444-79-6
CHEBI:10454	CAS-RN:53772-82-0
CHEBI:104585	CAS-RN:49608-51-7
CHEBI:1046	CAS-RN:41052-75-9
CHEBI:104872	CAS-RN:61413-54-5
CHEBI:105	CAS-RN:73340-42-8
CHEBI:10550	CAS-RN:88269-47-0
CHEBI:10552	CAS-RN:24164-13-4
CHEBI:10553	CAS-RN:39815-40-2
CHEBI:10554	CAS-RN:501-15-5
CHEBI:10556	CAS-RN:62218-08-0
CHEBI:10561	CAS-RN:1604-01-9
CHEBI:10562	CAS-RN:524-15-2
CHEBI:10565	CAS-RN:16051-95-9
CHEBI:10575	CAS-RN:104-61-0
CHEBI:10575	CAS-RN:57084-16-9
CHEBI:10577	CAS-RN:99-85-4
CHEBI:10578	CAS-RN:672-76-4
CHEBI:10580	CAS-RN:104-67-6
CHEBI:10582	CAS-RN:33279-57-1
CHEBI:10583	CAS-RN:11114-20-8
CHEBI:10586	CAS-RN:125319-03-1
CHEBI:10587	CAS-RN:618-48-4
CHEBI:10588	CAS-RN:6640-24-0
CHEBI:10589	CAS-RN:99-04-7
CHEBI:106	CAS-RN:5001-21-8
CHEBI:10607	CAS-RN:121-79-9
CHEBI:10618	CAS-RN:2498-50-2
CHEBI:10626	CAS-RN:22660-95-3
CHEBI:10631	CAS-RN:55-55-0
CHEBI:10635	CAS-RN:24563-20-0
CHEBI:10642	CAS-RN:488-59-5
CHEBI:10650	CAS-RN:103628-46-2
CHEBI:106738	CAS-RN:132584-12-4
CHEBI:10696	CAS-RN:7298-99-9
CHEBI:107	CAS-RN:83-14-7
CHEBI:107635	CAS-RN:486-79-3
CHEBI:107644	CAS-RN:94-53-1
CHEBI:107668	CAS-RN:94-19-9
CHEBI:107736	CAS-RN:364-62-5
CHEBI:10782	CAS-RN:18457-55-1
CHEBI:10782	CAS-RN:536-59-4
CHEBI:10790	CAS-RN:13547-17-6
CHEBI:108	CAS-RN:13401-40-6
CHEBI:10836	CAS-RN:73692-51-0
CHEBI:108581	CAS-RN:37693-01-9
CHEBI:109	CAS-RN:40323-57-7
CHEBI:109540	CAS-RN:51050-59-0
CHEBI:109543	CAS-RN:521-74-4
CHEBI:109549	CAS-RN:196597-26-9
CHEBI:10956	CAS-RN:76109-04-1
CHEBI:109895	CAS-RN:244-63-3
CHEBI:11	CAS-RN:477-60-1
CHEBI:110	CAS-RN:4850-21-9
CHEBI:110423	CAS-RN:10596-23-3
CHEBI:11060	CAS-RN:541-14-0
CHEBI:111	CAS-RN:642-38-6
CHEBI:1113	CAS-RN:159694-16-3
CHEBI:111507	CAS-RN:1892-26-8
CHEBI:111513	CAS-RN:53910-96-6
CHEBI:111517	CAS-RN:595-46-0
CHEBI:111518	CAS-RN:4974-27-0
CHEBI:11152	CAS-RN:17863-69-3
CHEBI:111762	CAS-RN:1088-11-5
CHEBI:112	CAS-RN:89-31-6
CHEBI:113	CAS-RN:27740-96-1
CHEBI:113373	CAS-RN:150-83-4
CHEBI:113449	CAS-RN:114-63-6
CHEBI:113451	CAS-RN:134-03-2
CHEBI:113454	CAS-RN:616-47-7
CHEBI:113455	CAS-RN:532-32-1
