subject	predicate	object	relation	provided_by
RHEA:10300	biolink:close_match	EC:1.2.1.59	skos:closeMatch	Rhea
RHEA:10304	biolink:close_match	EC:2.3.1.40	skos:closeMatch	Rhea
RHEA:10312	biolink:close_match	EC:1.14.12.15	skos:closeMatch	Rhea
RHEA:10316	biolink:close_match	EC:1.14.11.6	skos:closeMatch	Rhea
RHEA:10320	biolink:close_match	EC:4.2.1.77	skos:closeMatch	Rhea
RHEA:10324	biolink:close_match	EC:1.1.1.185	skos:closeMatch	Rhea
RHEA:10328	biolink:close_match	EC:1.1.1.185	skos:closeMatch	Rhea
RHEA:10332	biolink:close_match	EC:2.3.1.62	skos:closeMatch	Rhea
RHEA:10336	biolink:close_match	EC:4.2.1.3	skos:closeMatch	Rhea
RHEA:10340	biolink:close_match	EC:4.2.3.21	skos:closeMatch	Rhea
RHEA:10344	biolink:close_match	EC:2.3.1.25	skos:closeMatch	Rhea
RHEA:10348	biolink:close_match	EC:3.5.2.9	skos:closeMatch	Rhea
RHEA:10352	biolink:close_match	EC:3.5.1.76	skos:closeMatch	Rhea
RHEA:10356	biolink:close_match	EC:1.1.1.152	skos:closeMatch	Rhea
RHEA:10360	biolink:close_match	EC:3.1.1.35	skos:closeMatch	Rhea
RHEA:10364	biolink:close_match	EC:2.3.3.4	skos:closeMatch	Rhea
RHEA:10368	biolink:close_match	EC:2.6.1.59	skos:closeMatch	Rhea
RHEA:10372	biolink:close_match	EC:1.2.1.58	skos:closeMatch	Rhea
RHEA:10376	biolink:close_match	EC:7.2.2.9	skos:closeMatch	Rhea
RHEA:10380	biolink:close_match	EC:2.4.2.10	skos:closeMatch	Rhea
RHEA:10388	biolink:close_match	EC:4.1.1.32	skos:closeMatch	Rhea
RHEA:10392	biolink:close_match	EC:1.1.1.195	skos:closeMatch	Rhea
RHEA:10396	biolink:close_match	EC:1.4.1.5	skos:closeMatch	Rhea
RHEA:10400	biolink:close_match	EC:2.6.1.15	skos:closeMatch	Rhea
RHEA:10408	biolink:close_match	EC:2.3.1.176	skos:closeMatch	Rhea
RHEA:10412	biolink:close_match	EC:3.6.1.13	skos:closeMatch	Rhea
RHEA:10412	biolink:close_match	EC:3.6.1.53	skos:closeMatch	Rhea
RHEA:10416	biolink:close_match	EC:4.1.99.11	skos:closeMatch	Rhea
RHEA:10420	biolink:close_match	EC:2.6.1.77	skos:closeMatch	Rhea
RHEA:10424	biolink:close_match	EC:3.5.1.32	skos:closeMatch	Rhea
RHEA:10428	biolink:close_match	EC:1.13.11.31	skos:closeMatch	Rhea
RHEA:10432	biolink:close_match	EC:3.5.1.29	skos:closeMatch	Rhea
RHEA:10436	biolink:close_match	EC:4.2.1.106	skos:closeMatch	Rhea
RHEA:10440	biolink:close_match	EC:3.1.1.17	skos:closeMatch	Rhea
RHEA:10444	biolink:close_match	EC:2.1.1.291	skos:closeMatch	Rhea
RHEA:10448	biolink:close_match	EC:1.14.20.5	skos:closeMatch	Rhea
RHEA:10456	biolink:close_match	EC:2.3.1.79	skos:closeMatch	Rhea
RHEA:10460	biolink:close_match	EC:5.3.3.9	skos:closeMatch	Rhea
RHEA:10464	biolink:close_match	EC:3.5.1.41	skos:closeMatch	Rhea
RHEA:10468	biolink:close_match	EC:4.1.2.9	skos:closeMatch	Rhea
RHEA:10472	biolink:close_match	EC:4.1.3.32	skos:closeMatch	Rhea
RHEA:10484	biolink:close_match	EC:3.5.1.71	skos:closeMatch	Rhea
RHEA:10488	biolink:close_match	EC:6.3.3.2	skos:closeMatch	Rhea
RHEA:10492	biolink:close_match	EC:3.1.3.75	skos:closeMatch	Rhea
RHEA:10500	biolink:close_match	EC:2.3.3.7	skos:closeMatch	Rhea
RHEA:10508	biolink:close_match	EC:2.2.1.1	skos:closeMatch	Rhea
RHEA:10516	biolink:close_match	EC:1.1.1.166	skos:closeMatch	Rhea
RHEA:10520	biolink:close_match	EC:2.4.1.241	skos:closeMatch	Rhea
RHEA:10524	biolink:close_match	EC:4.1.1.71	skos:closeMatch	Rhea
RHEA:10528	biolink:close_match	EC:1.14.14.100	skos:closeMatch	Rhea
RHEA:10532	biolink:close_match	EC:4.2.1.20	skos:closeMatch	Rhea
RHEA:10536	biolink:close_match	EC:3.1.6.10	skos:closeMatch	Rhea
RHEA:10540	biolink:close_match	EC:4.1.2.25	skos:closeMatch	Rhea
RHEA:10548	biolink:close_match	EC:1.13.12.1	skos:closeMatch	Rhea
RHEA:10552	biolink:close_match	EC:1.1.3.10	skos:closeMatch	Rhea
RHEA:10556	biolink:close_match	EC:2.5.1.66	skos:closeMatch	Rhea
RHEA:10560	biolink:close_match	EC:3.5.4.22	skos:closeMatch	Rhea
RHEA:10564	biolink:close_match	EC:3.1.1.44	skos:closeMatch	Rhea
RHEA:10568	biolink:close_match	EC:2.4.1.189	skos:closeMatch	Rhea
RHEA:10572	biolink:close_match	EC:5.3.3.3	skos:closeMatch	Rhea
RHEA:10576	biolink:close_match	EC:2.7.7.57	skos:closeMatch	Rhea
RHEA:10580	biolink:close_match	EC:6.3.2.17	skos:closeMatch	Rhea
RHEA:10584	biolink:close_match	EC:2.3.1.170	skos:closeMatch	Rhea
RHEA:10588	biolink:close_match	EC:2.3.1.111	skos:closeMatch	Rhea
RHEA:10596	biolink:close_match	EC:2.7.10.1	skos:closeMatch	Rhea
RHEA:10596	biolink:close_match	EC:2.7.10.2	skos:closeMatch	Rhea
RHEA:10596	biolink:close_match	EC:2.7.10.3	skos:closeMatch	Rhea
RHEA:10596	biolink:close_match	EC:2.7.12.1	skos:closeMatch	Rhea
RHEA:10596	biolink:close_match	EC:2.7.12.2	skos:closeMatch	Rhea
RHEA:10600	biolink:close_match	EC:5.3.99.2	skos:closeMatch	Rhea
RHEA:10604	biolink:close_match	EC:3.1.4.3	skos:closeMatch	Rhea
RHEA:10608	biolink:close_match	EC:1.14.14.91	skos:closeMatch	Rhea
RHEA:10612	biolink:close_match	EC:2.4.2.38	skos:closeMatch	Rhea
RHEA:10616	biolink:close_match	EC:1.17.1.3	skos:closeMatch	Rhea
RHEA:10620	biolink:close_match	EC:1.2.1.44	skos:closeMatch	Rhea
RHEA:10628	biolink:close_match	EC:2.7.7.56	skos:closeMatch	Rhea
RHEA:10632	biolink:close_match	EC:1.1.1.131	skos:closeMatch	Rhea
RHEA:10636	biolink:close_match	EC:1.1.1.131	skos:closeMatch	Rhea
RHEA:10644	biolink:close_match	EC:3.1.1.57	skos:closeMatch	Rhea
RHEA:10652	biolink:close_match	EC:1.2.1.48	skos:closeMatch	Rhea
RHEA:10656	biolink:close_match	EC:2.1.1.2	skos:closeMatch	Rhea
RHEA:10660	biolink:close_match	EC:5.1.1.16	skos:closeMatch	Rhea
RHEA:10664	biolink:close_match	EC:1.1.1.144	skos:closeMatch	Rhea
RHEA:10668	biolink:close_match	EC:2.3.2.3	skos:closeMatch	Rhea
RHEA:10672	biolink:close_match	EC:4.1.99.3	skos:closeMatch	Rhea
RHEA:10680	biolink:close_match	EC:5.1.1.4	skos:closeMatch	Rhea
RHEA:10684	biolink:close_match	EC:3.1.3.48	skos:closeMatch	Rhea
RHEA:10688	biolink:close_match	EC:3.1.3.39	skos:closeMatch	Rhea
RHEA:10692	biolink:close_match	EC:1.3.3.11	skos:closeMatch	Rhea
RHEA:10696	biolink:close_match	EC:6.2.1.49	skos:closeMatch	Rhea
RHEA:10700	biolink:close_match	EC:3.3.2.8	skos:closeMatch	Rhea
RHEA:10704	biolink:close_match	EC:6.1.1.9	skos:closeMatch	Rhea
RHEA:10708	biolink:close_match	EC:2.7.7.34	skos:closeMatch	Rhea
RHEA:10712	biolink:close_match	EC:1.13.12.9	skos:closeMatch	Rhea
RHEA:10716	biolink:close_match	EC:5.5.1.4	skos:closeMatch	Rhea
RHEA:10720	biolink:close_match	EC:1.5.4.1	skos:closeMatch	Rhea
RHEA:10724	biolink:close_match	EC:1.1.1.135	skos:closeMatch	Rhea
RHEA:10724	biolink:close_match	EC:1.1.1.187	skos:closeMatch	Rhea
RHEA:10728	biolink:close_match	EC:1.1.1.135	skos:closeMatch	Rhea
RHEA:10728	biolink:close_match	EC:1.1.1.187	skos:closeMatch	Rhea
RHEA:10732	biolink:close_match	EC:1.13.12.7	skos:closeMatch	Rhea
RHEA:10736	biolink:close_match	EC:1.1.1.1	skos:closeMatch	Rhea
RHEA:10736	biolink:close_match	EC:1.1.1.71	skos:closeMatch	Rhea
RHEA:10740	biolink:close_match	EC:1.1.1.1	skos:closeMatch	Rhea
RHEA:10744	biolink:close_match	EC:1.3.1.53	skos:closeMatch	Rhea
RHEA:10748	biolink:close_match	EC:4.2.1.1	skos:closeMatch	Rhea
RHEA:10752	biolink:close_match	EC:6.3.1.12	skos:closeMatch	Rhea
RHEA:10756	biolink:close_match	EC:2.7.9.1	skos:closeMatch	Rhea
RHEA:10760	biolink:close_match	EC:4.1.3.6	skos:closeMatch	Rhea
RHEA:10764	biolink:close_match	EC:1.14.20.4	skos:closeMatch	Rhea
RHEA:10768	biolink:close_match	EC:1.14.20.4	skos:closeMatch	Rhea
RHEA:10772	biolink:close_match	EC:3.2.1.86	skos:closeMatch	Rhea
RHEA:10776	biolink:close_match	EC:1.1.1.237	skos:closeMatch	Rhea
RHEA:10780	biolink:close_match	EC:1.1.1.110	skos:closeMatch	Rhea
RHEA:10780	biolink:close_match	EC:1.1.1.237	skos:closeMatch	Rhea
RHEA:10780	biolink:close_match	EC:1.1.1.96	skos:closeMatch	Rhea
RHEA:10788	biolink:close_match	EC:2.7.1.13	skos:closeMatch	Rhea
RHEA:10792	biolink:close_match	EC:4.1.1.21	skos:closeMatch	Rhea
RHEA:10796	biolink:close_match	EC:1.14.13.32	skos:closeMatch	Rhea
RHEA:10800	biolink:close_match	EC:2.4.2.22	skos:closeMatch	Rhea
RHEA:10804	biolink:close_match	EC:5.1.99.3	skos:closeMatch	Rhea
RHEA:10808	biolink:close_match	EC:1.11.1.23	skos:closeMatch	Rhea
RHEA:10812	biolink:close_match	EC:1.2.1.71	skos:closeMatch	Rhea
RHEA:10816	biolink:close_match	EC:3.2.1.63	skos:closeMatch	Rhea
RHEA:10820	biolink:close_match	EC:5.1.2.6	skos:closeMatch	Rhea
RHEA:10824	biolink:close_match	EC:1.1.1.299	skos:closeMatch	Rhea
RHEA:10824	biolink:close_match	EC:1.1.1.82	skos:closeMatch	Rhea
RHEA:10828	biolink:close_match	EC:6.2.1.32	skos:closeMatch	Rhea
RHEA:10832	biolink:close_match	EC:3.1.4.50	skos:closeMatch	Rhea
RHEA:10836	biolink:close_match	EC:1.14.13.43	skos:closeMatch	Rhea
RHEA:10840	biolink:close_match	EC:4.2.3.1	skos:closeMatch	Rhea
RHEA:10844	biolink:close_match	EC:2.6.1.31	skos:closeMatch	Rhea
RHEA:10848	biolink:close_match	EC:7.4.2.7	skos:closeMatch	Rhea
RHEA:10852	biolink:close_match	EC:2.5.1.71	skos:closeMatch	Rhea
RHEA:10856	biolink:close_match	EC:2.4.1.47	skos:closeMatch	Rhea
RHEA:10860	biolink:close_match	EC:1.14.13.242	skos:closeMatch	Rhea
RHEA:10864	biolink:close_match	EC:1.14.13.242	skos:closeMatch	Rhea
RHEA:10868	biolink:close_match	EC:2.3.1.20	skos:closeMatch	Rhea
RHEA:10872	biolink:close_match	EC:3.5.1.15	skos:closeMatch	Rhea
RHEA:10876	biolink:close_match	EC:4.1.1.61	skos:closeMatch	Rhea
RHEA:10880	biolink:close_match	EC:3.2.2.25	skos:closeMatch	Rhea
RHEA:10884	biolink:close_match	EC:4.1.2.33	skos:closeMatch	Rhea
RHEA:10896	biolink:close_match	EC:3.1.1.36	skos:closeMatch	Rhea
RHEA:10900	biolink:close_match	EC:2.6.1.60	skos:closeMatch	Rhea
RHEA:10904	biolink:close_match	EC:1.3.99.36	skos:closeMatch	Rhea
RHEA:10908	biolink:close_match	EC:2.8.2.14	skos:closeMatch	Rhea
RHEA:10912	biolink:close_match	EC:6.3.2.1	skos:closeMatch	Rhea
RHEA:10924	biolink:close_match	EC:5.2.1.10	skos:closeMatch	Rhea
RHEA:10932	biolink:close_match	EC:6.3.4.5	skos:closeMatch	Rhea
RHEA:10936	biolink:close_match	EC:1.8.5.2	skos:closeMatch	Rhea
RHEA:10940	biolink:close_match	EC:4.2.3.20	skos:closeMatch	Rhea
