tax_id	carbon_substrates
453573	arabinose, cellobiose, fructose, glycerol, mannitol, sucrose, xylose
454156	arabinose, cellobiose, fructose, glycerol, mannitol, sucrose, xylose
1120938	fructose, galactose, gelatin, glucose, inosine, lactose, maltose, rhamnose, ribose, sorbitol, sucrose, trehalose
882440	adonitol, arabinose, cellobiose, dextrin, fructose, galactose, lactose, maltose, mannitol, melibiose, myo-inositol, rhamnose, sorbitol, succinate, sucrose, xylose
337895	arabinose, cellobiose, fructose, glucose, glycerol, maltose, mannitol, salicin, sucrose, trehalose, xylose
547461	arabinose, fructose, glucose, rhamnose, sucrose, xylose
559626	cellobiose, dextrin, glycerol, rhamnose
430685	fructose, glucose, lactose, rhamnose, sorbitol, trehalose, xylose
267854	adonitol, arabinose, dextrin, fructose, galactose, glucose, glycerol, maltose, mannitol, mannose, raffinose, rhamnose, ribose, sucrose, trehalose, Tween 80, urea, xylose
359158	acetate, adonitol, arabinose, arginine, cellobiose, fructose, galactose, glucose, histidine, lactose, mannitol, mannose, melibiose, myo-inositol, phenylalanine, raffinose, rhamnose, ribose, salicin, serine, sucrose, threonine, trehalose, xylose
559627	citrate, glucose, lactose, mannitol, sucrose
559629	acetate, adonitol, arabinose, cellobiose, fructose, galactose, glucose, glycerol, lactose, malate, melibiose, rhamnose, sorbitol, succinate, sucrose, trehalose, xylose
1038904	arabinose, fructose, galactose, mannitol, rhamnose, ribose, xylose
589159	lactate, lactose, sorbitol
589159	alanine, alanine, arginine, cellobiose, lactate, lactose, ornithine, proline, rhamnose, serine, sorbitol
887459	maltose
272548	alanine, alanine, arginine, cellobiose, fructose, glucose, glycine, histidine, lactose, leucine, maltose, mannose, melibiose, phenylalanine, proline, raffinose, sucrose, trehalose
595468	adonitol, arabinose, arabitol, fructose, galactose, glucose, glycerol, glycogen, maltose, mannose, raffinose, ribose, sucrose
595468	adonitol, arabinose, arabitol, fructose, galactose, glucose, glycerol, glycogen, maltose, mannose, raffinose, ribose, sucrose
461393	fructose, galactose, glucose, lactose, maltose, mannose, ribose, sucrose, trehalose, xylose
1288391	fructose, galactose, glucose, glycerol, glycogen, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, ribose, salicin, sucrose, trehalose
1288391	arabitol, fructose, galactose, glucose, glycerol, glycogen, lactose, maltose, mannitol, mannose, melibiose, raffinose, ribose, salicin, sucrose, trehalose
1288391	fructose, galactose, glucose, glycerol, glycogen, maltose, mannitol, mannose, melibiose, raffinose, ribose, salicin, sucrose, trehalose
675090	glucose, glycogen, lactose, maltose, sucrose
402650	asparagine, fructose, glucose, glycerol, glycine, histidine, lactose, rhamnose, ribose, sorbitol, sucrose, xylose
696000	arabinose, galactose, gelatin, glucose, lactose, maltose, mannose, rhamnose, ribose, urea, xylose
502181	fructose, glucose, rhamnose
502181	fructose, glucose, rhamnose
882441	cellobiose, glucose, maltose, mannose
1036182	cellobiose, galactose, glucose, glycogen, lactose, maltose, mannitol, mannose, rhamnose, salicin, sucrose, xylose
403638	aspartate, malate, proline, pyruvate, salicin, serine, sucrose
1223317	cellobiose, fructose, galactose, glucose, mannose, xylose
512349	acetate, adonitol, arabinose, citrate, fructose, galactose, gluconic acid, glucosamine, glucose, malonate, maltose, ribose, sorbitol, sucrose, xylose
571912	gelatin, glucose, maltose, sucrose, xylose
571911	arabinose, galactose, glucose, mannose, rhamnose, ribose, xylose
512350	acetate, adonitol, arabinose, citrate, fructose, gluconic acid, glucosamine, glucose, mannose, ribose, sorbitol, sucrose, xylose
533267	alanine, alanine, arabinose, asparagine, dextrin, fucose, glucose, maltose, mannose, phenylalanine, proline, raffinose, rhamnose, ribose
504797	arabinose, glucosamine, raffinose
504797	arabinose, fructose, galactose, glucosamine, glucose, mannitol, myo-inositol, raffinose, rhamnose, sorbitol, sucrose, xylose
446787	adonitol, cellobiose, galactose, lactose, malonate, maltose, mannose, melibiose, raffinose, ribose, salicin, xylitol
1234544	arabinose, fructose, maltose, mannitol, xylose
995066	adonitol, alanine, alanine, arabinose, cellobiose, citrate, fructose, galactose, glucose, glycerol, lactose, maltose, mannose, proline, rhamnose, ribose, sorbitol, sucrose, trehalose, xylose
304899	arabinose, xylose
1386098	acetate, arabinose, glucose, glycogen, maltose, ribose, salicin, sucrose, xylose
670289	arabinose, cellobiose, fructose, galactose, glucose, lactate, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sucrose, trehalose, xylose
670288	arabinose, cellobiose, galactose, glucose, glycogen, lactose, malonate, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, salicin, sucrose, trehalose, xylose
299567	adonitol, alanine, alanine, arabinose, fructose, gluconic acid, glucose, glycine, histidine, leucine, N-acetylgulcosamine, ornithine, proline, pyruvate, ribose, sucrose, trehalose
529703	arabinose, arginine, glutamate, glycine, phenylalanine, proline, trehalose
446660	arginine
797535	acetate, adipate, alanine, alaninamide, alanine, alpha-ketovaleric acid, citrate, glucuronamide, glutamate, itaconate, lactate, leucine, malate, ornithine, phenylacetate, proline, propionate, pyruvic acid methyl ester, succinate, threonine
267800	citrate, malate
487317	adonitol, asparagine, aspartate, citrate, fucose, galactonic acid, gelatin, glycogen, inosine, lactose, malonate, propionate, raffinose, sorbitol, sucrose, threonine, uridine
797419	asparagine, aspartate, glycogen, lactate, mannose
218139	arabinose, maltose, mannose, raffinose, salicin, sucrose, xylose
371602	ribose
371602	5-ketogluconate, ribose
302168	arginine, cellobiose, galactose, malate, succinate, Tween 20, Tween 40, Tween 60, Tween 80
416568	acetate, fructose, glucose, glycerol, maltose, pyruvate, ribose, sucrose, trehalose
363867	3-hydroxybutyrate, acetate, alanine, alanine, arabinose, asparagine, cellobiose, ethanol, fructose, fucose, galactose, gluconic acid, glucose, glutamate, glycerol, lactose, leucine, malate, maltose, mannose, N-acetylgulcosamine, phenylalanine, proline, propionate, pyruvate, rhamnose, serine, succinate, sucrose, trehalose, tryptophan, valerate, xylose
560557	acetate, arabinose, fructose, glucose, glycerol, mannose, ribose, trehalose, xylose
363861	acetate, alanine, alanine, cellobiose, glucose, maltose, mannose, salicin, succinate, sucrose
460257	arabinose, cellobiose, citrate, galactose, glucose, maltose, salicin, xylose
375541	acetate, cellobiose, fructose, galactose, gelatin, glucose, glycerol, lactose, malate, maltose, mannose, ribose, succinate, sucrose, trehalose
196024	lactate
1114880	acetate, citrate, lactate, urocanic acid
440079	acetate, arabinose, arginine, cellobiose, citrate, dextrin, fructose, galactose, glucose, glycerol, histidine, lactate, maltose, mannitol, N-acetylgulcosamine, salicin, sucrose, trehalose
591962	glucose, malate, maltose, mannose, N-acetylgulcosamine
591962	gluconic acid, glucose, malate, maltose, mannose
